Unnamed: 0,RETURN_ID,FILING_TYPE,EIN,TAX_PERIOD_x,SUB_DATE,TAXPAYER_NAME,RETURN_TYPE,DLN,OBJECT_ID,NAME,ICO,STREET,CITY,STATE,ZIP,INCOME_AMT,ASSET_AMT,TAX_PERIOD_y
474,15090061,EFILE,911791788,201612,1/5/2018 4:35:34 PM,KNIGHT FOUNDATION ATTN LISA MCKILLIPS,990PF,93491319023167,201713199349102316,KNIGHT FOUNDATION,% LISA MCKILLIPS,1 SW BOWERMAN DR,BEAVERTON,OR,97005-0979,126512560.0,293112866.0,201712.0
5406,15891972,EFILE,30373895,201712,11/8/2018 8:59:20 AM,JAMES F AND MARION L MILLER FOUNDATION,990PF,93491268006088,201832689349100608,JAMES F AND MARION L MILLER FOUNDATION,% CHARLES H PUTNEY,520 SW YAMHILL ST STE 520,PORTLAND,OR,97204-1328,49340069.0,149392986.0,201712.0
190,15090663,EFILE,936021893,201612,1/5/2018 5:48:13 PM,COLLINS FOUNDATION,990PF,93491318008467,201713189349100846,COLLINS FOUNDATION,,1618 SW 1ST AVE STE 505,PORTLAND,OR,97201-5706,49314789.0,237857579.0,201712.0
1913,15211153,EFILE,943192331,201612,3/9/2018 12:11:21 AM,JFR FOUNDATION,990PF,93491026006018,201810269349100601,JAMES AND SHIRLEY RIPPEY FAMILY FOUNDATION,,565 HIGHLINE RD,HOOD RIVER,OR,97031-9554,45992571.0,78185764.0,201712.0
1020,15106140,EFILE,237108002,201706,1/10/2018 12:35:49 AM,MAYBELLE CLARK MACDONALD FUND,990PF,93491318008737,201733189349100873,MAYBELLE CLARK MACDONALD FUND,,PO BOX 1496,BEND,OR,97709-1496,40817516.0,137316147.0,201806.0
5115,15887001,EFILE,943092928,201712,11/7/2018 7:06:26 PM,INTEL FOUNDATION,990PF,93491131022628,201821319349102262,INTEL FOUNDATION,,5200 NE ELAM YOUNG PKWY,HILLSBORO,OR,97124-6463,40474283.0,25079777.0,201712.0
5881,16000233,EFILE,930988354,201712,12/13/2018 4:41:49 PM,HEATHERINGTON FOUNDATION FOR INNOVATION AND EDUCATION IN HEALTH CARE,990PF,93491310007328,201823109349100732,HEATHERINGTON FOUNDATION FOR INNOVATION AND EDUCATION IN HEALT,,825 NE MULTNOMAH ST STE 1400,PORTLAND,OR,97232-2598,33873268.0,15154836.0,201712.0
5917,15937053,EFILE,931244750,201804,11/21/2018 6:49:07 PM,LOGSDON CHARITABLE FOUNDATION,990PF,93491256007618,201812569349100761,LOGSDON CHARITABLE FOUNDATION,,180 NW 2ND ST,PRINEVILLE,OR,97754-1808,19481643.0,1766410.0,201804.0
268,15086944,EFILE,800875249,201612,1/5/2018 6:05:30 AM,RMF FOUNDATION,990PF,93491314006307,201703149349100630,RMF FOUNDATION,% RYAN FINLEY,9450 SW GEMINI DR 14354,BEAVERTON,OR,97008-7105,17242830.0,23753187.0,201712.0
269,15957893,EFILE,800875249,201712,11/29/2018 4:29:55 PM,RMF FOUNDATION,990PF,93491267004108,201802679349100410,RMF FOUNDATION,% RYAN FINLEY,9450 SW GEMINI DR 14354,BEAVERTON,OR,97008-7105,17242830.0,23753187.0,201712.0
5385,15862696,EFILE,475373459,201712,11/1/2018 5:48:38 PM,BRENDEN FAMILY FOUNDATION,990PF,93491234007168,201812349349100716,BRENDEN FAMILY FOUNDATION,,PO BOX 2004,SILVERTON,OR,97381-0416,16077249.0,28025606.0,201712.0
3238,15543919,EFILE,815366149,201712,7/27/2018 9:24:51 AM,WYEAST FOUNDATION,990PF,93491134024008,201801349349102400,WYEAST FOUNDATION,,PO BOX 205,HOOD RIVER,OR,97031-0007,14862922.0,7564323.0,201712.0
4398,15735299,EFILE,272624875,201712,9/27/2018 7:51:08 AM,RESER FAMILY FOUNDATION,990PF,93491212001438,201832129349100143,RESER FAMILY FOUNDATION,% DAVID R JUBB,PO BOX 8,BEAVERTON,OR,97075-0008,13223453.0,42776403.0,201712.0
4266,15761363,EFILE,475023017,201712,10/3/2018 5:17:12 PM,HOWARD AND BETH BRYANT FOUNDATION,990PF,93491199007068,201811999349100706,HOWARD AND BETH BRYANT FOUNDATION,,PO BOX 570,HEPPNER,OR,97836-0570,12257959.0,10454679.0,201712.0
2941,15348790,EFILE,930861885,201712,5/29/2018 8:35:23 AM,KINSMAN FOUNDATION,990PF,93491135039198,201841359349103919,KINSMAN FOUNDATION,,3727 SE SPAULDING AVE,MILWAUKIE,OR,97267-3938,11299709.0,21036676.0,201712.0
6066,16031483,EFILE,461237162,201712,12/20/2018 9:10:18 PM,CARRICO FAMILY FOUNDATION,990PF,93491319045088,201833199349104508,CARRICO FAMILY FOUNDATION,% MAGNA O CARRICO LOWMAN,PO BOX 4436,MEDFORD,OR,97501-0172,10963153.0,33313748.0,201712.0
3912,15659324,EFILE,721574570,201712,9/6/2018 12:53:37 PM,GLORY FOUNDATION,990PF,93491131013718,201811319349101371,GLORY FOUNDATION,% ROBERT J PRESTON,PO BOX 230939,TIGARD,OR,97281-0939,10634836.0,1402869.0,201712.0
4279,15753310,EFILE,237423789,201712,10/2/2018 8:32:49 AM,CLARK FOUNDATION,990PF,93491134045088,201831349349104508,CLARK FOUNDATION,,9770 SW SUNSHINE CT,BEAVERTON,OR,97005-4100,10569550.0,30667587.0,201712.0
4044,15659013,EFILE,466717868,201712,9/6/2018 12:21:47 PM,BILL HOLMES CHARITABLE TRUST,990PF,93491106008038,201831069349100803,BILL HOLMES CHARITABLE TR DATED 4-9-2013,% WILBUR R HOLMES,1441 MARROW ROAD UNIT,MEDFORD,OR,97504-4678,9317983.0,4005992.0,201712.0
5517,15936029,EFILE,203968120,201712,11/21/2018 2:32:38 PM,ZIDELL FAMILY FOUNDATION,990PF,93491296003198,201842969349100319,ZIDELL FAMILY FOUNDATION,% MIN ZIDELL,2020 SW 4TH AVE STE 600,PORTLAND,OR,97201-4960,9158386.0,6721612.0,201712.0
5712,15862178,EFILE,931245000,201712,11/1/2018 4:55:25 PM,JUAN YOUNG TRUST,990PF,93491233004078,201822339349100407,JUAN YOUNG TRUST,% DELAP LLP,C/O DELAP 5885 MEADOWS RD NO 200,LAKE OSWEGO,OR,97035-0000,8068898.0,11442471.0,201712.0
5386,15891516,EFILE,936174460,201805,11/8/2018 8:18:15 AM,JAMES AND LILA MILLER CHARITABLE TRUST,990PF,93491274004198,201842749349100419,JAMES & LILA MILLER CHARITABLE TR,,1805 NW GLISAN ST,PORTLAND,OR,97209-2010,6774776.0,5722879.0,201805.0
4074,15719485,EFILE,566502391,201712,9/21/2018 10:29:32 PM,RAYMOND FAMILY FOUNDATION,990PF,93491135022958,201801359349102295,RAYMOND FAMILY FOUNDATION TRUST INDENTURE AGREEMENT,% WELLS FARGO BANK NA 209615-4509,PO BOX 12475,PORTLAND,OR,97212-0475,6056803.0,13386922.0,201712.0
4267,15783788,EFILE,200270777,201709,10/11/2018 11:14:10 PM,HAUGLAND FAMILY FOUNDATION FKA ROSARIA P HAUGLAND FOUNDATION,990PF,93491215001088,201832159349100108,HAUGLAND FAMILY FOUNDATION,% ROSARIA P HAUGLAND,PO BOX 40190,EUGENE,OR,97404-0027,5973869.0,18577342.0,201709.0
278,15109760,EFILE,364708840,201612,1/10/2018 4:03:37 PM,YARG FOUNDATION,990PF,93491318010757,201703189349101075,YARG FOUNDATION,% NICHOLAS WALROD,3805 N COLONIAL AVE,PORTLAND,OR,97227-1005,5739967.0,34212381.0,201712.0
