EIN,NAME,STREET,CITY,STATE,ZIP,INCOME_AMT,ASSET_AMT
941105628,KAISER FOUNDATION HOSPITALS,2701 NW VAUGHN ST STE 490,PORTLAND,OR,97210-5358,36971306958,51507506504
930798039,KAISER FOUNDATION HEALTH PLAN OF THE NORTHWEST,2701 NW VAUGHN ST STE 490,PORTLAND,OR,97210-5358,5075034609,1285021137
840591617,KAISER FOUNDATION HEALTH PLAN OF COLORADO,2701 NW VAUGHN ST STE 490,PORTLAND,OR,97210-5358,4632392328,1797185853
910511770,KAISER FOUNDATION HEALTH PLAN OF WASHINGTON,2701 NW VAUGHN ST STE 490,PORTLAND,OR,97210-5358,4066198565,2628077809
520954463,KAISER FOUNDATION HEALTH PLAN OF THE MID ATLANTIC STATES INC,2701 NW VAUGHN ST STE 490,PORTLAND,OR,97210-5358,3841838410,1560429135
581592076,KAISER FOUNDATION HEALTH PLAN OF GEORGIA INC,2701 NW VAUGHN ST STE 490,PORTLAND,OR,97210-5358,1813748984,562031363
550828701,PROVIDENCE HEALTH ASSURANCE,4400 NE HALSEY BLDG 2,PORTLAND,OR,97213-1545,1445849166,354542756
930223960,ASANTE,2635 SISKIYOU BLVD,MEDFORD,OR,97504-8125,1275622530,1171131040
455093195,HEALTH SHARE OF OREGON,2121 SW BROADWAY STE 200,PORTLAND,OR,97201-3181,1187007977,97135771
930933975,CAREOREGON INC,315 SW 5TH AVE,PORTLAND,OR,97204-1703,987569869,417596891
930386823,LEGACY EMANUEL HOSPITAL & HEALTH CENTER,2801 N GANTENBEIN AVE,PORTLAND,OR,97227-1623,858132281,652097549
930602940,ST CHARLES HEALTH SYSTEM INC,2500 NE NEFF RD,BEND,OR,97701-6015,810635252,1066147828
930579722,SALEM HEALTH,890 OAK ST SE,SALEM,OR,97301-3905,772378081,1211931939
930878074,FAMILYCARE INC,825 NE MULTNOMAH ST,PORTLAND,OR,97232-2135,660143772,176652870
930508781,SKY LAKES MEDICAL CENTER INC,2865 DAGGETT AVE,KLAMATH FALLS,OR,97601-1106,632224319,352003938
237083114,OREGON HEALTH AND SCIENCE UNIVERSITY FOUNDATION,1121 SW SALMON ST FLR 2,PORTLAND,OR,97205-2000,546205529,1505457807
461574842,U OF O FOUNDATION SUPPORTING ORGANIZATION,1720 E 13TH AVE STE 410,EUGENE,OR,97403-2253,487928926,523053155
237315673,OREGON COMMUNITY FOUNDATION,1221 SW YAMHILL ST STE,PORTLAND,OR,97205-2126,449638506,1945213322
930391573,GOOD SAMARITAN HOSPITAL CORVALLIS,PO BOX 3000,CORVALLIS,OR,97339-3000,424897313,180179878
930429015,PORTLAND ADVENTIST MEDICAL CENTER,10123 SE MARKET ST,PORTLAND,OR,97216-2532,378681470,320904406
930386793,LEGACY GOOD SAMARITAN HOSPITAL AND MEDICAL CENTER PAYROLL DEPT,1015 NW 22ND AVE,PORTLAND,OR,97210-3025,343481293,333678165
936021475,OREGON TEAMSTER EMPLOYERS TRUST,PO BOX 4148,PORTLAND,OR,97208-4148,331381916,91807010
237017278,UFCW LOCAL 555 EMPLOYERS HEALTH TRUST,12205 SW TUALATIN RD STE 200,TUALATIN,OR,97062-7919,330196526,173724680
911148123,MERCY CORPS,45 SW ANKENY STREET,PORTLAND,OR,97204-3500,310386162,188946120
931124326,INTERCOMMUNITY HEALTH NETWORK,PO BOX 3000,CORVALLIS,OR,97339-3000,298976526,97732329
237426300,LEGACY HEALTH,1919 NW LOVEJOY ST,PORTLAND,OR,97209-1503,297199639,1420270239
936015767,UNIVERSITY OF OREGON FOUNDATION,1720 E 13TH AVE STE 410,EUGENE,OR,97403-2253,296115740,1280031236
930951989,SAMARITAN HEALTH SERVICES INC,PO BOX 3000,CORVALLIS,OR,97339-3000,286708804,354629473
930401259,UNIVERSITY OF PORTLAND,5000 N WILLAMETTE BLVD,PORTLAND,OR,97203-5798,262866470,588649619
930618975,LEGACY MERIDIAN PARK HOSPITAL,19300 SW 65TH AVE,TUALATIN,OR,97062-7706,244198347,390181073
930386858,LEWIS AND CLARK COLLEGE,0615 SW PALATINE HILL RD,PORTLAND,OR,97219-7879,236121956,439391058
463264330,HEALTH PLAN OF CAREOREGON INC,315 SW 5TH AVE,PORTLAND,OR,97204-1703,233789272,69969006
930386868,MERCY MEDICAL CENTER INC,2700 NW STEWART PKWY,ROSEBURG,OR,97471-1281,223673688,346559567
930386892,PACIFIC UNIVERSITY,2043 COLLEGE WAY,FOREST GROVE,OR,97116-1756,219064971,270236473
931192140,PACIFIC NORTHWEST GENERATING COOPERATIVE,711 NE HALSEY NO 200,PORTLAND,OR,97232-1268,214170995,47108943
930257765,ONPOINT COMMUNITY CREDIT UNION,2701 NW VAUGHN ST,PORTLAND,OR,97210-5311,206077978,5129362102
930430029,TUALITY HEALTHCARE,334 SE 8TH AVE,HILLSBORO,OR,97123-4201,200883662,146540142
931313663,ENERGY TRUST OF OREGON INC,421 SW OAK ST STE 300,PORTLAND,OR,97204-1810,196836929,80155976
930386840,GOODWILL INDUSTRIES OF THE COLUMBIA WILLAMETTE,1943 SE 6TH AVE,PORTLAND,OR,97214-4508,193005939,294997986
930110095,ALBANY GENERAL HOSPITAL,PO BOX 3000,CORVALLIS,OR,97339-3000,184148836,71457556
936023048,HARRISON ELECTRICAL WORKERS TRUST FUND,PMB 116 5331 SW MACADAM,PORTLAND,OR,97239-6104,178595026,226928945
936022772,OREGON STATE UNIVERSITY FOUNDATION,4238 SW RESEARCH WAY,CORVALLIS,OR,97333-1068,164407687,793133191
930386908,REED INSTITUTE,3203 SE WOODSTOCK BLVD,PORTLAND,OR,97202-8199,158724982,751616019
930386972,WILLAMETTE UNIVERSITY,900 STATE ST,SALEM,OR,97301-3922,153363587,457044870
930591528,LEGACY MOUNT HOOD MEDICAL CENTER,24800 SE STARK ST,GRESHAM,OR,97030-3378,150550530,109552243
936021111,OREGON-WASHINGTON CARPENTERS EMPLOYERS HEALTH AND WELFARE FUND,PO BOX 4148,PORTLAND,OR,97208-4148,150443751,94953734
930686108,NWEA,121 NW EVERETT ST,PORTLAND,OR,97209-4049,148503655,80216791
930386839,GEORGE FOX UNIVERSITY,414 N MERIDIAN ST,NEWBERG,OR,97132-2697,135823687,158864075
364742731,YAMHILL COUNTY CARE ORGANIZATION INC,807 NE 3RD ST,MCMINNVILLE,OR,97128-4433,131844806,33545204
943237150,PACIFICORP UNION EMPLOYEES WELFARE BENEFITS TRUST,825 NE MULTNOMAH ST STE 1900,PORTLAND,OR,97232-2151,130096847,220787684
911791788,KNIGHT FOUNDATION,1 SW BOWERMAN DR,BEAVERTON,OR,97005-0979,126512560,293112866
930386936,MID-COLUMBIA MEDICAL CENTER,1700 E 19TH ST,THE DALLES,OR,97058-3317,125594290,62921146
930396847,MID-VALLEY HEALTHCARE INC,PO BOX 3000,CORVALLIS,OR,97339-3000,124329176,58200813
930300375,UMATILLA ELECTRIC COOPERATIVE ASSOCIATION,PO BOX 1148,HERMISTON,OR,97838-3148,121639819,208674319
930391586,LINFIELD COLLEGE,900 SE BAKER ST,MCMINNVILLE,OR,97128-6808,116946020,254145041
930391563,CONCORDIA UNIVERSITY,2811 NE HOLMAN ST,PORTLAND,OR,97211-6067,116503421,109345667
930583856,COLUMBIA LUTHERAN CHARITIES,2111 EXCHANGE ST,ASTORIA,OR,97103-3329,115992452,138380163
