year,ein,object_id,name,business_name1,business_name2,title,org_comp,related_comp,other_cmp,form,source,IndvdlTrstOrDrctrInd,InstttnlTrstInd,OffcrInd,KyEmplyInd,HghstCmpnstdEmplyInd,FrmrOfcrDrctrTrstInd
2019,941105628,201843129349302544,Ramon F Baez,,,Director,0,216956,0,IRS990,Frm990PrtVIISctnA,X,,,,,
2019,941105628,201843129349302544,David Barger,,,Director,0,129258,0,IRS990,Frm990PrtVIISctnA,X,,,,,
2019,941105628,201843129349302544,Regina M Benjamin MD MBA,,,Director,0,195085,0,IRS990,Frm990PrtVIISctnA,X,,,,,
2019,941105628,201843129349302544,Jeffery E Epstein,,,Director,0,209793,0,IRS990,Frm990PrtVIISctnA,X,,,,,
2019,941105628,201843129349302544,Leslie S Heisz,,,Director,0,221011,0,IRS990,Frm990PrtVIISctnA,X,,,,,
2019,941105628,201843129349302544,David F Hoffmeister,,,Director,0,228956,0,IRS990,Frm990PrtVIISctnA,X,,,,,
2019,941105628,201843129349302544,Judith A Johansen JD,,,Director,0,245223,0,IRS990,Frm990PrtVIISctnA,X,,,,,
2019,941105628,201843129349302544,Kim J Kaiser,,,Director,0,229212,0,IRS990,Frm990PrtVIISctnA,X,,,,,
2019,941105628,201843129349302544,Edward Y W Pei,,,Director,0,227488,18000,IRS990,Frm990PrtVIISctnA,X,,,,,
2019,941105628,201843129349302544,Margaret E Porfido JD,,,Director,0,273015,0,IRS990,Frm990PrtVIISctnA,X,,,,,
2019,941105628,201843129349302544,Richard Shannon MD,,,Director,0,190000,18000,IRS990,Frm990PrtVIISctnA,X,,,,,
2019,941105628,201843129349302544,Cynthia A Telles PHD,,,Director,0,233956,0,IRS990,Frm990PrtVIISctnA,X,,,,,
2019,941105628,201843129349302544,Bernard Tyson,,,Chairman & CEO,0,10709503,5373250,IRS990,Frm990PrtVIISctnA,X,,X,,,
2019,941105628,201843129349302544,Eugene Washington MD,,,Director,0,193495,0,IRS990,Frm990PrtVIISctnA,X,,,,,
2019,941105628,201843129349302544,Gregory Adams,,,"EVP, Group President",0,3042495,3546643,IRS990,Frm990PrtVIISctnA,,,X,,,
2019,941105628,201843129349302544,Mary Barnes,,,Region President - Hawaii,0,1071569,29603,IRS990,Frm990PrtVIISctnA,,,X,,,
2019,941105628,201843129349302544,Anthony Barrueta,,,"SVP, Government Relations",0,1354413,396224,IRS990,Frm990PrtVIISctnA,,,X,,,
2019,941105628,201843129349302544,Kristin Bear,,,Assistant Secretary,0,346012,142273,IRS990,Frm990PrtVIISctnA,,,X,,,
2019,941105628,201843129349302544,Vanessa Benavides,,,"SVP, Chief Comp & Priv Officer",0,923294,190921,IRS990,Frm990PrtVIISctnA,,,X,,,
2019,941105628,201843129349302544,Charles Bevilacqua,,,"SVP, HP Products, Svc & Admin",0,1521557,308111,IRS990,Frm990PrtVIISctnA,,,X,,,
2019,941105628,201843129349302544,Maryann Bodayle,,,Assistant Secretary,0,172364,48189,IRS990,Frm990PrtVIISctnA,,,X,,,
2019,941105628,201843129349302544,William Caswell,,,Interim Regional President -HI,0,1509573,146401,IRS990,Frm990PrtVIISctnA,,,X,,,
2019,941105628,201843129349302544,Bechara Choucair,,,"SVP,Community Health & Benefit",0,955689,188323,IRS990,Frm990PrtVIISctnA,,,X,,,
2019,941105628,201843129349302544,Charles Columbus,,,"SVP, Chief HR Officer",0,1857813,336076,IRS990,Frm990PrtVIISctnA,,,X,,,
2019,941105628,201843129349302544,Patrick Courneya,,,"EVP, Chief Medical Officer",0,1220085,630555,IRS990,Frm990PrtVIISctnA,,,X,,,
2019,941105628,201843129349302544,Richard Daniels,,,"EVP, CIO",0,1814409,146709,IRS990,Frm990PrtVIISctnA,,,X,,,
2019,941105628,201843129349302544,Sandra Golze,,,Assistant Secretary - NCAL,0,374649,220377,IRS990,Frm990PrtVIISctnA,,,X,,,
2019,941105628,201843129349302544,Bernice Gould,,,Assistant Secretary,0,211923,119722,IRS990,Frm990PrtVIISctnA,,,X,,,
2019,941105628,201843129349302544,Kimberly Horn,,,Regional President - MAS,0,1459825,687515,IRS990,Frm990PrtVIISctnA,,,X,,,
2019,941105628,201843129349302544,Kathryn Lancaster,,,EVP & CFO,0,2834247,889086,IRS990,Frm990PrtVIISctnA,,,X,,,
2019,941105628,201843129349302544,Janet Liang,,,Regional President - NCAL,0,1461682,541446,IRS990,Frm990PrtVIISctnA,,,X,,,
2019,941105628,201843129349302544,R Roland Lyon,,,Regional President - Colorado,0,891176,364965,IRS990,Frm990PrtVIISctnA,,,X,,,
2019,941105628,201843129349302544,Andrew Mcculloch,,,Regional President - Northwest,0,4160783,167915,IRS990,Frm990PrtVIISctnA,,,X,,,
