year,taxyr,ein,object_id,name,business_name1,business_name2,title,org_comp,related_comp,other_cmp,form,source,IndvdlTrstOrDrctrInd,InstttnlTrstInd,OffcrInd,KyEmplyInd,HghstCmpnstdEmplyInd,FrmrOfcrDrctrTrstInd
2017,,941105628,201703139349302875,Ramon F Baez,,,Director,0,152591,0,IRS990,Frm990PrtVIISctnA,X,,,,,
2017,,941105628,201703139349302875,Regina M Benjamin MD MBA,,,Director,0,197178,0,IRS990,Frm990PrtVIISctnA,X,,,,,
2017,,941105628,201703139349302875,Jeffrey E Epstein,,,Director,0,206871,0,IRS990,Frm990PrtVIISctnA,X,,,,,
2017,,941105628,201703139349302875,Leslie S Heisz,,,Director,0,215118,0,IRS990,Frm990PrtVIISctnA,X,,,,,
2017,,941105628,201703139349302875,David Hoffmeister,,,Director,0,225809,0,IRS990,Frm990PrtVIISctnA,X,,,,,
2017,,941105628,201703139349302875,Judith A Johansen JD,,,Director,0,240707,0,IRS990,Frm990PrtVIISctnA,X,,,,,
2017,,941105628,201703139349302875,Kim J Kaiser,,,Director,0,216547,0,IRS990,Frm990PrtVIISctnA,X,,,,,
2017,,941105628,201703139349302875,Philip A Marineau,,,Director,0,229371,0,IRS990,Frm990PrtVIISctnA,X,,,,,
2017,,941105628,201703139349302875,Edward Pei,,,Director,0,226739,18000,IRS990,Frm990PrtVIISctnA,X,,,,,
2017,,941105628,201703139349302875,Margaret E Porfido JD,,,Director,0,247358,0,IRS990,Frm990PrtVIISctnA,X,,,,,
2017,,941105628,201703139349302875,Richard Shannon MD,,,Director,0,212000,0,IRS990,Frm990PrtVIISctnA,X,,,,,
2017,,941105628,201703139349302875,Cynthia A Telles PHD,,,Director,0,223809,0,IRS990,Frm990PrtVIISctnA,X,,,,,
2017,,941105628,201703139349302875,Bernard Tyson,,,Chairman & CEO,0,8529498,1509737,IRS990,Frm990PrtVIISctnA,X,,X,,,
2017,,941105628,201703139349302875,Eugene Washington MD,,,Director,0,186626,0,IRS990,Frm990PrtVIISctnA,X,,,,,
2017,,941105628,201703139349302875,Gregory Adams,,,"EVP, Group President",0,2457650,688025,IRS990,Frm990PrtVIISctnA,,,X,,,
2017,,941105628,201703139349302875,Mary Ann Barnes,,,Region President - Hawaii,0,1120503,159041,IRS990,Frm990PrtVIISctnA,,,X,,,
2017,,941105628,201703139349302875,Anthony Barrueta,,,"SVP, Government Relations",0,1076323,269446,IRS990,Frm990PrtVIISctnA,,,X,,,
2017,,941105628,201703139349302875,Raymond Baxter,,,"SVP, CB Research & Hlth Policy",0,1292333,69748,IRS990,Frm990PrtVIISctnA,,,X,,,
2017,,941105628,201703139349302875,Vanessa Benavides,,,"SVP, Chief Comp & Priv Officer",0,620543,189748,IRS990,Frm990PrtVIISctnA,,,X,,,
2017,,941105628,201703139349302875,Charles Bevilacqua,,,"SVP, HP Products, SVC & Admin",0,1155388,207102,IRS990,Frm990PrtVIISctnA,,,X,,,
2017,,941105628,201703139349302875,Maryann Bodayle,,,Assistant Secretary,0,166251,33529,IRS990,Frm990PrtVIISctnA,,,X,,,
2017,,941105628,201703139349302875,Bechara Choucair,,,"SVP,Community Health & Benefit",0,480507,14329,IRS990,Frm990PrtVIISctnA,,,X,,,
2017,,941105628,201703139349302875,Benjamin Chu,,,"EVP,GP & Region President SCAL",0,2371766,164429,IRS990,Frm990PrtVIISctnA,,,X,,,
2017,,941105628,201703139349302875,Charles Columbus,,,"SVP, Chief HR Officer",0,1527720,436769,IRS990,Frm990PrtVIISctnA,,,X,,,
2017,,941105628,201703139349302875,Patrick Courneya,,,"EVP, Chief Medical Officer",0,906260,511023,IRS990,Frm990PrtVIISctnA,,,X,,,
2017,,941105628,201703139349302875,Richard Daniels,,,"EVP, CIO",0,1786816,387359,IRS990,Frm990PrtVIISctnA,,,X,,,
2017,,941105628,201703139349302875,Sandra Golze,,,Assistant Secretary - NCAL,0,567331,171428,IRS990,Frm990PrtVIISctnA,,,X,,,
2017,,941105628,201703139349302875,Kimberly Horn,,,Regional President - MAS,0,1288042,617297,IRS990,Frm990PrtVIISctnA,,,X,,,
2017,,941105628,201703139349302875,Kathryn Lancaster,,,EVP & CFO,0,2681226,588601,IRS990,Frm990PrtVIISctnA,,,X,,,
2017,,941105628,201703139349302875,Janet Liang,,,Regional President - NCAL,0,1386290,389244,IRS990,Frm990PrtVIISctnA,,,X,,,
2017,,941105628,201703139349302875,Donna Lynne,,,"EVP, GP & Region Pres - CO",0,5214011,131383,IRS990,Frm990PrtVIISctnA,,,X,,,
2017,,941105628,201703139349302875,Roland Lyon,,,Regional President - Colorado,0,592763,206175,IRS990,Frm990PrtVIISctnA,,,X,,,
2017,,941105628,201703139349302875,Gerald Mccall,,,SVP Operations,0,962147,180579,IRS990,Frm990PrtVIISctnA,,,X,,,
2017,,941105628,201703139349302875,Andrew Mcculloch,,,Regional President - Northwest,0,1045365,545870,IRS990,Frm990PrtVIISctnA,,,X,,,
2017,,941105628,201703139349302875,Thomas Meier,,,"SVP, Corporate Treasurer",0,1050818,138764,IRS990,Frm990PrtVIISctnA,,,X,,,
2017,,941105628,201703139349302875,Julie Miller-Phipps,,,Regional President - SCAL,0,1097514,210358,IRS990,Frm990PrtVIISctnA,,,X,,,
2017,,941105628,201703139349302875,Susan Mullaney,,,"VP, COO - NW",0,697523,147394,IRS990,Frm990PrtVIISctnA,,,X,,,
2017,,941105628,201703139349302875,Donald Orndoff,,,"SVP, NFS",0,935840,216315,IRS990,Frm990PrtVIISctnA,,,X,,,
2017,,941105628,201703139349302875,Wade Overgaard,,,"SVP, Health Plan Ops - CA",0,1821601,191697,IRS990,Frm990PrtVIISctnA,,,X,,,
2017,,941105628,201703139349302875,Frank Richardson,,,Assistant Secretary - HI,0,309105,126007,IRS990,Frm990PrtVIISctnA,,,X,,,
2017,,941105628,201703139349302875,Rochelle Roth,,,Assistant Secretary,0,274594,117866,IRS990,Frm990PrtVIISctnA,,,X,,,
2017,,941105628,201703139349302875,Jacqueline Sellers,,,Assistant Secretary,0,265122,88088,IRS990,Frm990PrtVIISctnA,,,X,,,
2017,,941105628,201703139349302875,James Simpson,,,"SVP, Finance - BU & ROC",0,835636,197862,IRS990,Frm990PrtVIISctnA,,,X,,,
2017,,941105628,201703139349302875,Arthur Southam,,,"EVP, Health Plan Operations",0,2775635,464416,IRS990,Frm990PrtVIISctnA,,,X,,,
2017,,941105628,201703139349302875,Deborah Stokes,,,"SVP,Corporate Controller & CAO",0,503944,3920,IRS990,Frm990PrtVIISctnA,,,X,,,
2017,,941105628,201703139349302875,Paul M Swenson,,,SVP & Chief Strategy Officer,0,1099290,178847,IRS990,Frm990PrtVIISctnA,,,X,,,
2017,,941105628,201703139349302875,Alfonse Upshaw,,,"SVP,Corporate Controller & CAO",0,616612,108314,IRS990,Frm990PrtVIISctnA,,,X,,,
2017,,941105628,201703139349302875,Cesar Villalpando,,,"SVP, Enterprise Shared SVCS",0,1045511,303641,IRS990,Frm990PrtVIISctnA,,,X,,,
2017,,941105628,201703139349302875,Nancy Wollen,,,"SVP, Chief Operating Officer",0,997247,159880,IRS990,Frm990PrtVIISctnA,,,X,,,
2017,,941105628,201703139349302875,John Yamamoto,,,Assistant Secretary,0,643745,195832,IRS990,Frm990PrtVIISctnA,,,X,,,
2017,,941105628,201703139349302875,Hong-Sze Yu,,,Assistant Secretary,0,304345,126932,IRS990,Frm990PrtVIISctnA,,,X,,,
2017,,941105628,201703139349302875,Carlos Zaragoza,,,Assistant Secretary,0,408667,20355,IRS990,Frm990PrtVIISctnA,,,X,,,
2017,,941105628,201703139349302875,Mark Zemelman,,,"SVP, General Counsel & Secy",0,1630173,369974,IRS990,Frm990PrtVIISctnA,,,X,,,
