period,ein,object_id,taxpayer_name,name,business_name1,business_name2,title,org_comp,related_comp
201612,941105628,201703139349302875,KAISER FOUNDATION HOSPITALS,Claudio F Abreu,,,"SVP, Regional IT Operations",0,1070022
201612,941105628,201703139349302875,KAISER FOUNDATION HOSPITALS,Gregory Adams,,,"EVP, Group President",0,3145675
201612,941105628,201703139349302875,KAISER FOUNDATION HOSPITALS,Ramon F Baez,,,Director,0,152591
201612,941105628,201703139349302875,KAISER FOUNDATION HOSPITALS,Mary Ann Barnes,,,Region President - Hawaii,0,1279544
201612,941105628,201703139349302875,KAISER FOUNDATION HOSPITALS,Anthony Barrueta,,,"SVP, Government Relations",0,1345769
201612,941105628,201703139349302875,KAISER FOUNDATION HOSPITALS,Raymond Baxter,,,"SVP, CB Research & Hlth Policy",0,1362081
201612,941105628,201703139349302875,KAISER FOUNDATION HOSPITALS,Frank Beirne,,,SVP & Area Mgr - San Mateo,0,108978
201612,941105628,201703139349302875,KAISER FOUNDATION HOSPITALS,Vanessa Benavides,,,"SVP, Chief Comp & Priv Officer",0,810291
201612,941105628,201703139349302875,KAISER FOUNDATION HOSPITALS,Regina M Benjamin MD MBA,,,Director,0,197178
201612,941105628,201703139349302875,KAISER FOUNDATION HOSPITALS,Charles Bevilacqua,,,"SVP, HP Products, SVC & Admin",0,1362490
201612,941105628,201703139349302875,KAISER FOUNDATION HOSPITALS,Derrick Billings,,,"SVP, Hospital & Area Ops -NCAL",0,744600
201612,941105628,201703139349302875,KAISER FOUNDATION HOSPITALS,Maryann Bodayle,,,Assistant Secretary,0,199780
201612,941105628,201703139349302875,KAISER FOUNDATION HOSPITALS,Odette Bolano,,,SVP & Area Manager - East Bay,0,210187
201612,941105628,201703139349302875,KAISER FOUNDATION HOSPITALS,Christopher Boyd,,,SVP & Area Mgr - Santa Clara,0,794084
201612,941105628,201703139349302875,KAISER FOUNDATION HOSPITALS,Michael Brady,,,"SVP, Infrastructure Mgmt Group",0,122171
201612,941105628,201703139349302875,KAISER FOUNDATION HOSPITALS,Lisa L Caplan,,,SVP Care Delivery Tech Svcs,0,1092610
201612,941105628,201703139349302875,KAISER FOUNDATION HOSPITALS,William Caswell,,,"SVP, Operations",0,950103
201612,941105628,201703139349302875,KAISER FOUNDATION HOSPITALS,Thomas W Chapman EDD,,,Director,0,513713
201612,941105628,201703139349302875,KAISER FOUNDATION HOSPITALS,Bechara Choucair,,,"SVP,Community Health & Benefit",0,494836
201612,941105628,201703139349302875,KAISER FOUNDATION HOSPITALS,Greg Christian,,,"SVP, Area Manager - Fontana",0,771582
201612,941105628,201703139349302875,KAISER FOUNDATION HOSPITALS,Benjamin Chu,,,"EVP,GP & Region President SCAL",0,2536195
201612,941105628,201703139349302875,KAISER FOUNDATION HOSPITALS,Judith Coffey,,,SVP & Area Mgr - Marin/Sonoma,0,689253
201612,941105628,201703139349302875,KAISER FOUNDATION HOSPITALS,Jeffrey Collins,,,SVP & Area Manager - Roseville,0,751562
201612,941105628,201703139349302875,KAISER FOUNDATION HOSPITALS,Charles Columbus,,,"SVP, Chief HR Officer",0,1964489
201612,941105628,201703139349302875,KAISER FOUNDATION HOSPITALS,Diane Comer,,,"SVP, Buss Info Officer - KFHP",0,1237430
201612,941105628,201703139349302875,KAISER FOUNDATION HOSPITALS,Mark Costa,,,"SVP,Area Manager-Orange County",0,754924
