EIN,NAME,ICO,STREET,CITY,STATE,ZIP,GROUP,SUBSECTION,AFFILIATION,CLASSIFICATION,RULING,DEDUCTIBILITY,FOUNDATION,ACTIVITY,ORGANIZATION,STATUS,TAX_PERIOD,ASSET_CD,INCOME_CD,FILING_REQ_CD,PF_FILING_REQ_CD,ACCT_PD,ASSET_AMT,INCOME_AMT,REVENUE_AMT,NTEE_CD,SORT_NAME
010594446,GILLIAM COUNTY AUCTION COMMITTEE,% CODY RE,PO BOX 656,CONDON,OR,97823-0656,0000,03,3,1000,201607,1,15,000000000,1,01,201712,0,0,02,0,12,0,0,0,N52,
010599364,ZONTA CLUB OF GRANTS PASS OREGON FOUNDATION,% KAREN DOYLE,PO BOX 1615,GRANTS PASS,OR,97528-0137,0000,03,3,1000,200304,1,15,000000000,1,01,201712,0,0,02,0,12,0,0,0,P20,
010614397,EITING FOUNDATION,% ROBERT J PRESTON,707 SW WASHINGTON ST STE 1500,PORTLAND,OR,97205-3532,0000,03,3,1000,200205,1,04,000000000,1,01,201712,4,6,00,1,12,437779,2040520,,T22,
010632681,INTERNATIONAL TOY FOX TERRIER HISTORICAL SOCIETY,% SALLY REED,85548 HIGHWAY 339,MILTON FRWTR,OR,97862-7386,0000,03,3,2000,200210,1,16,000000000,1,01,201512,0,0,02,0,12,0,0,0,A50,
010635961,KLAMATH COUNTY POLICE SERVICE DOG COMMUNITY SUPPORT FUND,% STEVE LEWIS,PO BOX 1908,KLAMATH FALLS,OR,97601-0109,0000,03,3,1000,200207,1,15,000000000,1,01,201712,0,0,02,0,12,0,0,0,I99,
010661510,LOWER COLUMBIA SECTION OF THE PNCWA,% JOEL BORCHERS,720 SW WASHINGTON ST STE 550,PORTLAND,OR,97205-3507,0000,03,3,1200,201408,1,16,000000000,1,01,201712,0,0,02,0,12,0,0,0,S80,
010665555,SHIR TIKVAH,% CHARLES ROJENBLUM,1631 NE BROADWAY STE 314,PORTLAND,OR,97232-1425,0000,03,3,7000,200204,1,10,000000000,1,01,,0,0,06,0,06,,,,X21,
010690895,GREEN ACRES PARENT AND TEACHER CLUB,% GREEN ACRES ELEMENTARY SCHOOL,700 S 10TH ST,LEBANON,OR,97355-1300,0000,03,3,1000,200210,1,16,000000000,1,01,201706,0,0,02,0,06,0,0,0,B94,
010692263,GROVES PARENT TEACHER CLUB,% GROVES PARENT TEACHER CLUB,1500 NW OAK GROVE DR,ALBANY,OR,97321-9209,0000,03,3,1000,200406,1,16,000000000,1,01,201706,0,0,02,0,06,0,0,0,,
010696988,NORTH COAST SYMPHONIC BAND ASSOCIATION,% JUDITH SHATTO,35185 ORCHARD LN,ASTORIA,OR,97103-8339,0000,03,3,2000,200410,1,15,000000000,1,01,201712,0,0,02,0,12,0,0,0,A69,
