ein,object_id,assets_pf
930806316,201940469349100204,790090705
936026156,201813199349105116,935604462
030373895,201832689349100608,202898242
936021893,201823199349104847,237857579
300179374,201941629349100759,56636115
943092928,201941309349100619,35787027
930988354,201823109349100732,15154836
237108002,201843559349100109,146918711
470927354,201922529349100867,25148028
270745672,201833189349103178,83101915
800875249,201802679349100410,29743082
943192331,201941279349101739,80523316
931244750,201922119349100007,1740160
461237162,201833199349104508,33313748
566502391,201801359349102295,19979734
272624875,201921709349100617,42077673
753098324,201833139349100528,5691314
931254171,201812749349100411,22596570
237423789,201921339349102202,27150601
475373459,201932039349100128,28304956
931200088,201911319349100106,3590997
226930631,201911199349101006,22477605
815366149,201931309349100723,7381827
364708840,201813199349104691,34212381
931245000,201921339349101777,9995292
931247987,201901349349102670,18540658
930861885,201941349349102394,23430506
475023017,201911799349100706,10736561
810618279,201922949349100602,16952113
200270777,201942149349100609,20529935
472606838,201911339349102071,14237613
411990118,201912049349100206,7292972
721574570,201941339349101809,632787
261234177,201803199349103595,7816132
943112077,201931349349101968,11548036
931266648,201911349349104181,18592633
205425714,201942969349100609,7775301
931271976,201921339349103242,8149568
474432319,201903049349100045,2106848
061535427,201921069349100002,1981508
821057365,201941979349100704,3495619
931230039,201940249349100254,8896639
460846415,201941309349101059,10129876
931159884,201813189349102831,53603884
262768979,201811349349104291,5714563
272831197,201942469349100404,17475169
421566765,201833199349103883,5757929
475408548,201843199349102214,41029039
931208721,201801349349103400,33416448
471349104,201813179349101836,1757607
471892164,201902059349100215,2225016
262029619,201840969349100809,3840763
931221623,201820469349100872,6472659
936234071,201941029349100619,9354378
936279827,201801939349100115,1177038
261469914,201833109349101103,3705720
272245059,201841789349100309,5127285
476261291,201931659349100328,5714814
936272124,201900289349100255,20273878
931330414,201911719349100026,7599133
936027213,201901359349102715,3269891
931326797,201811529349100416,2518552
931191941,201802419349101005,5846227
930811823,201901629349100515,4930161
133407905,201913029349100731,11328728
820454166,201823419349100007,33424091
931100080,201803169349100100,4845430
203912349,201932329349100868,17588376
936021333,201941709349100109,27908644
946077619,201901799349100210,4895582
030461030,201823149349100007,2089590
611776451,201901339349102075,3958336
813813601,201940989349100004,2915772
930491360,201900779349100610,19347745
931221596,201901339349104110,6224406
931265440,201910429349100601,6200601
943063700,201932189349100203,1415720
936237912,201932219349100608,3069487
260015458,201803199349103440,6099827
931150643,201943029349100304,674399
943157812,201900899349100505,1864650
931267972,201823199349105097,10461063
300495445,201901839349100315,705888
931123593,201820609349100607,3575457
931246381,201921339349103532,2303826
931156903,201911429349100801,2430884
931135130,201833199349104938,266423
931236637,201813189349101716,10501318
931305219,201901349349102325,1035650
454008879,201921299349101932,4866211
201799618,201932679349100203,2033064
931072470,201821379349100527,312629
943187979,201802579349100620,285141
943027910,201901549349100275,4969041
911788238,201931319349100603,1509185
261478178,201901789349100805,4531467
931258857,201931199349100958,700699
462345457,201921009349101157,2289577
936025466,201833139349101213,5721450
931123212,201901359349102300,268139
137044726,201941499349100424,557511
581845413,201842579349100719,5090974
931105853,201931359349102228,442787
931260713,201940749349100624,10262978
376573149,201911339349103576,2323405
431851426,201910099349100701,854457
954479497,201802809349100350,733942
931232272,201842539349100509,6281187
431992271,201901689349100205,8145159
201962411,201921309349102032,1193766
473881585,201920929349100112,0
823161120,201931409349100133,663944
461616702,201930869349100203,2150740
680517512,201920759349100102,0
263209131,201911359349103111,1568848
931265230,201813189349101846,929533
