year,ein,object_id,form,source,compensation,income,revenue,assets,expenses
2018,455093195,201802839349301235,IRS990,part_i,0,-2579069,1187007977,97135771,1189587046
2018,930223960,201902269349301505,IRS990,part_i,409070526,92305846,816045270,1265166110,723739424
2018,930933975,201803099349302465,IRS990,part_i,76035386,-40584478,861208485,417596891,901792963
2018,930386823,201930469349302328,IRS990,part_i,574883428,-40532975,934290343,605104820,974823318
2018,930602940,201803209349301685,IRS990,part_i,418451096,41444500,809085838,1066147828,767641338
2018,930579722,201901309349300240,IRS990,part_i,412741884,82445905,817259795,1306434818,734813890
2018,930508781,201902269349302720,IRS990,part_i,125200047,18211976,646876631,379169745,628664655
2018,930391573,201813199349317146,IRS990,part_i,226856192,-9509429,423040908,180179878,432550337
2018,930951989,201803199349318510,IRS990,part_i,90076320,18021,216452131,354629473,216434110
2018,930438772,201813179349307831,IRS990,part_i,55392587,41185852,581195686,155290113,540009834
2018,930878074,201803109349301425,IRS990,part_i,35111102,-38251795,521122948,176652870,559374743
2018,930386793,201920469349302327,IRS990,part_i,157145297,28960810,361825745,358541310,332864935
2018,931124326,201823199349318132,IRS990,part_i,15649307,9425430,298676526,97732329,289251096
2018,930257765,201941309349303759,IRS990,part_i,65732230,80037870,237149429,5392942516,157111559
2018,237315673,201823189349311767,IRS990,part_i,9089953,52461743,169040779,1945213322,116579036
2018,930429015,201803599349300400,IRS990,part_i,171699297,-687304,377054527,320904406,377741831
2018,936021475,201943049349301554,IRS990,part_i,0,8464131,195211222,100839235,186747091
2018,911148123,201900249349301105,IRS990,part_i,109496227,-5136240,308644568,188946120,313780808
2018,237426300,201900469349302220,IRS990,part_i,138466243,11957119,267401320,1420270239,255444201
2018,237017278,201930849349300538,IRS990,part_i,0,34280157,163972564,209460031,129692407
2018,930386908,201810469349301506,IRS990,part_i,54030519,-15097021,104356342,751616019,119453363
2018,936023048,201832859349301623,IRS990,part_i,0,15595631,122722757,226928945,107127126
2018,930401259,201940439349300309,IRS990,part_i,78121967,38116423,259262659,588649619,221146236
2018,930618975,201930469349302268,IRS990,part_i,98218703,40791812,253157189,428738530,212365377
2018,936015767,201931359349306713,IRS990,part_i,6055813,57699791,171996503,1405487960,114296712
2018,930386858,201930869349300133,IRS990,part_i,72532943,5030054,187025201,448226032,181995147
2018,463264330,201823059349301467,IRS990,part_i,14829142,-15556457,221981695,69969006,237538152
2018,931192140,201922269349302642,IRS990,part_i,3084772,1911325,236942799,67228965,235031474
2018,930806316,201940469349100204,IRS990PF,pf_part_i,2890497,0,60764514,,49188928
2018,930386868,201921339349308357,IRS990,part_i,83634249,41723543,230099235,379299912,188375692
2018,930430029,201941349349309339,IRS990,part_i,106343780,-91660,204584766,150513163,204676426
2018,930386840,201902269349301020,IRS990,part_i,102502296,14512273,175793010,308538731,161280737
2018,930110095,201803199349318420,IRS990,part_i,104180281,-4475872,183312841,71457556,187788713
2018,930386892,201921299349302567,IRS990,part_i,79596337,6530190,169822898,274278475,163292708
2018,936026156,201813199349105116,IRS990PF,pf_part_i,819701,0,43917298,,44967328
2018,931313663,201823189349309752,IRS990,part_i,12513016,14261531,196836929,80155976,182575398
2018,930386839,201911359349312376,IRS990,part_i,55805256,11151200,132997587,172443298,121846387
2018,237083114,201921299349302537,IRS990,part_i,12782649,-51760572,79454276,1519085177,131214848
2018,364742731,201802789349301415,IRS990,part_i,0,-3478605,131844806,33545204,135323411
2018,936022772,201930179349300623,IRS990,part_i,30173340,28984170,139155244,793133191,110171074
2018,930386972,201940609349301514,IRS990,part_i,61320475,-10647736,133466370,470919843,144114106
2018,930591528,201940469349302219,IRS990,part_i,70751880,10823893,158024021,120094233,147200128
2018,930686108,201940499349300119,IRS990,part_i,89065959,89080,148503655,80216791,148414575
2018,930583856,201813169349302871,IRS990,part_i,54299381,12244876,114386565,138380163,102141689
2018,943237150,201823119349302177,IRS990,part_i,116271,3857502,17385983,220787684,13528481
2018,930391586,201901359349302370,IRS990,part_i,43918107,7053888,112152044,261526045,105098156
2018,936021111,201941199349300809,IRS990,part_i,0,4079183,81819652,106282076,77740469
2018,930396847,201833199349318468,IRS990,part_i,71810823,1042202,123675637,58200813,122633435
2018,930453216,201912119349301601,IRS990,part_i,24742721,5297185,60843932,241861290,55546747
2018,930386936,201833179349301698,IRS990,part_i,71710584,-4396330,121510455,62921146,125906785
2018,930281321,201910469349302456,IRS990,part_i,61943047,-13005415,132100399,47221162,145105814
2018,930300375,201902339349301010,IRS990,part_i,903216,0,129270989,208832452,129270989
2018,911791788,201813199349103061,IRS990PF,pf_part_i,0,0,126512560,,2362012
2018,930505325,201900579349300025,IRS990,part_i,68477095,3156784,105739315,115208193,102582531
2018,930425580,201931309349305318,IRS990,part_i,54149670,10449937,107846516,204208452,97396579
2018,931329784,201843199349318469,IRS990,part_i,52396469,130876,93339323,46264124,93208447
2018,936090239,201923049349301892,IRS990,part_i,0,1578747,90985758,30583727,89407011
2018,930728816,201900879349301260,IRS990,part_i,48399842,20144024,100600730,150418862,80456706
2018,931143759,201812189349301451,IRS990,part_i,0,20566156,25522120,143672550,4955964
2018,030373895,201832689349100608,IRS990PF,pf_part_i,617520,0,15970810,,14051660
2018,930492535,201813189349312391,IRS990,part_i,28850471,13530466,83372165,1686568182,69841699
2018,930391591,201910289349301061,IRS990,part_i,4729874,7318457,17341920,58275045,10023463
2018,930622075,201833559349300648,IRS990,part_i,41279912,7587731,84242495,62712557,76654764
2018,930391614,201931309349304723,IRS990,part_i,31620033,15955152,85055225,167446052,69100073
2018,936041903,201813179349308256,IRS990,part_i,0,-3869851,33858694,53839208,37728545
2018,930163693,201803139349303545,IRS990,part_i,27471447,14607990,68530029,1529534336,53922039
2018,930757655,201802889349302065,IRS990,part_i,0,1887920,25168087,42205507,23280167
