year,ein,object_id,taxpayer_name,compensation
2019,941105628,201843129349302544,KAISER FOUNDATION HOSPITALS,8438687895
2019,941105628,201843129349302544,,8438687895
2019,840591617,201833129349302398,KAISER FOUNDATION HEALTH PLAN OF COLORADO,747488942
2019,840591617,201833129349302398,,747488942
2019,930863097,201803199349300020,PROVIDENCE HEALTH PLAN,82494502
2019,930863097,201803199349300020,,82494502
2019,550828701,201823199349300802,PROVIDENCE HEALTH ASSURANCE,26360663
2019,550828701,201823199349300802,,26360663
2019,930223960,201812269349302291,ASANTE,367742801
2019,930223960,201812269349302291,,367742801
2019,930933975,201803099349302465,CAREOREGON INC,76035386
2019,930933975,201803099349302465,,76035386
2019,455093195,201802839349301235,HEALTH SHARE OF OREGON,0
2019,455093195,201802839349301235,,0
2019,930386823,201930469349302328,LEGACY EMANUEL HOSPITAL AND HEALTH CENTER,574883428
2019,930386823,201930469349302328,,574883428
2019,930579722,201841349349304434,SALEM HEALTH,386294442
2019,930579722,201841349349304434,,386294442
2019,930602940,201803209349301685,ST CHARLES HEALTH SYSTEM INC,418451096
2019,930602940,201803209349301685,,418451096
2019,930878074,201803109349301425,FAMILYCARE INC,35111102
2019,930878074,201803109349301425,,35111102
2019,930508781,201822269349302547,SKY LAKES MEDICAL CENTER,117767961
2019,930508781,201822269349302547,,117767961
2019,930438772,201813179349307831,OREGON DENTAL SERVICE,55392587
2019,930438772,201813179349307831,,55392587
2019,237315673,201823189349311767,OREGON COMMUNITY FOUNDATION,9089953
2019,237315673,201823189349311767,,9089953
2019,930391573,201813199349317146,GOOD SAMARITAN HOSPITAL CORVALLIS,226856192
2019,930391573,201813199349317146,,226856192
2019,930429015,201803599349300400,PORTLAND ADVENTIST MEDICAL CENTER DBA ADVENTIST HEALTH PORTLAND,171699297
2019,930429015,201803599349300400,,171699297
2019,930386793,201920469349302327,LEGACY GOOD SAMARITAN HOSPITAL AND MEDICAL CENTER,157145297
2019,930386793,201920469349302327,,157145297
2019,930257765,201941309349303759,ONPOINT COMMUNITY CREDIT UNION,65732230
2019,930257765,201941309349303759,,65732230
2019,936021475,201832849349301958,OREGON TEAMSTER EMPLOYERS TRUST,0
2019,936021475,201832849349301958,,0
2019,911148123,201900249349301105,MERCY CORPS,109496227
2019,911148123,201900249349301105,,109496227
2019,931124326,201823199349318132,INTERCOMMUNITY HEALTH PLANS INC,15649307
2019,931124326,201823199349318132,,15649307
2019,237426300,201900469349302220,LEGACY HEALTH,138466243
2019,237426300,201900469349302220,,138466243
2019,237017278,201930849349300538,UFCW LOCAL 555-EMPLOYERS HEALTH TRUST,0
2019,237017278,201930849349300538,,0
2019,930951989,201803199349318510,SAMARITAN HEALTH SERVICES,90076320
2019,930951989,201803199349318510,,90076320
2019,930386908,201810469349301506,REED INSTITUTE,54030519
2019,930386908,201810469349301506,,54030519
2019,936023048,201832859349301623,HARRISON ELECTRICAL WORKERS TRUST,0
2019,936023048,201832859349301623,,0
2019,930401259,201940439349300309,UNIVERSITY OF PORTLAND,78121967
2019,930401259,201940439349300309,,78121967
2019,930618975,201930469349302268,LEGACY MERIDIAN PARK HOSPITAL,98218703
2019,930618975,201930469349302268,,98218703
2019,936015767,201931359349306713,UNIVERSITY OF OREGON FOUNDATION,6055813
2019,936015767,201931359349306713,,6055813
2019,930386858,201930869349300133,LEWIS AND CLARK COLLEGE,72532943
2019,930386858,201930869349300133,,72532943
2019,463264330,201823059349301467,HEALTH PLAN OF CAREOREGON INC,14829142
