ein,org527,org501c,org4947,org501c3
455093195,,,,X
930223960,,,,X
930933975,,,,X
930386823,,,,X
930602940,,,,X
930579722,,,,X
930508781,,,,X
930391573,,,,X
930951989,,,,X
930438772,,X,,
930878074,,X,,
930386793,,,,X
931124326,,X,,
930257765,,X,,
237315673,,,,X
930429015,,,,X
936021475,,X,,
911148123,,,,X
237426300,,,,X
237017278,,X,,
930386908,,,,X
936023048,,X,,
930401259,,,,X
930618975,,,,X
936015767,,,,X
930386858,,,,X
463264330,,,,X
931192140,,X,,
930386868,,,,X
930430029,,,,X
930386840,,,,X
930110095,,,,X
930386892,,,,X
931313663,,,,X
930386839,,,,X
237083114,,,,X
364742731,,,,X
936022772,,,,X
930386972,,,,X
930591528,,,,X
930686108,,,,X
930583856,,,,X
943237150,,X,,
930391586,,,,X
936021111,,X,,
930396847,,,,X
930453216,,,,X
930386936,,,,X
930281321,,,,X
930300375,,X,,
930505325,,,,X
930425580,,,,X
931329784,,,,X
936090239,,X,,
930728816,,,,X
931143759,,X,,
930492535,,X,,
930391591,,,,X
930622075,,,,X
930391614,,,,X
936041903,,X,,
930163693,,X,,
930757655,,X,,
271789847,,,,X
936021113,,X,,
930251640,,X,,
930785786,,,,X
930770054,,,,X
931305493,,,,X
383849354,,,,X
930389726,,X,,
930444581,,X,,
930717997,,,,X
931179254,,,,X
936024141,,X,,
930591240,,,,X
930243503,,X,,
930958642,,X,,
931300043,,,,X
930878944,,,,X
936024307,,X,,
930468214,,,,X
200195556,,,,X
930814638,,,,X
930415219,,,,X
931046399,,,,X
911829317,,X,,
936029224,,X,,
930502822,,,,X
930232310,,X,,
731668317,,,,X
930465543,,X,,
941312349,,,,X
930468003,,X,,
930619733,,,,X
930454786,,,,X
930804385,,,,X
930386966,,,,X
810609831,,,,X
930407022,,,,X
930386780,,,,X
930473211,,,,X
711016384,,,,X
930386804,,,,X
931228867,,,,X
930146827,,X,,
916034674,,X,,
930323147,,X,,
931329158,,,,X
342030255,,,,X
931326405,,,,X
936031270,,,,X
910973983,,X,,
202587840,,,,X
930977878,,,,X
271790052,,,,X
461574842,,,,X
930572370,,,,X
930421470,,,,X
936087366,,,,X
510480478,,,,X
943096772,,,,X
930463816,,,,X
273146613,,,,X
431960221,,,,X
930980637,,,,X
930402877,,,,X
510204735,,,,X
930243443,,X,,
931268744,,,,X
263946191,,,,X
930513697,,,,X
936049213,,X,,
911829325,,,,X
930386981,,,,X
930309970,,,,X
931067253,,,,X
930386880,,,,X
911833480,,,,X
237113266,,,,X
930611783,,,,X
946667029,,X,,
237332778,,,,X
237257390,,,,X
930477890,,,,X
526038494,,X,,
930354176,,,,X
930723862,,X,,
930433696,,,,X
930554941,,,,X
930857426,,,,X
936031208,,X,,
930579589,,,,X
237056987,,,,X
930634049,,,,X
930806295,,,,X
930391604,,,,X
931215381,,,,X
930746782,,,,X
930756143,,,,X
930605570,,,,X
930509414,,,,X
826030679,,X,,
930752805,,,,X
930582124,,,,X
931139187,,,,X
237098400,,,,X
931019725,,,,X
930753926,,,,X
930177555,,X,,
930446527,,,,X
930792758,,X,,
930415213,,,,X
931014288,,,,X
931229227,,,,X
930461940,,,,X
930910794,,,,X
930498054,,,,X
930628804,,,,X
930977166,,,,X
911943624,,,,X
930716860,,,,X
930553346,,,,X
930464898,,X,,
930398802,,,,X
930801200,,,,X
930512235,,,,X
930395591,,,,X
930591582,,,,X
930558819,,,,X
237366812,,,,X
261168995,,,,X
930386890,,,,X
930848530,,,,X
930630376,,,,X
930813981,,,,X
930587136,,,,X
930134820,,X,,
930608012,,,,X
930196209,,X,,
237017276,,,,X
930564896,,,,X
930685734,,,,X
921069936,,,,X
931086629,,,,X
930564141,,,,X
930644303,,,,X
273524752,,,,X
521957214,,,,X
936028906,,X,,
930888347,,,,X
930713827,,,,X
930571472,,,,X
930557803,,,,X
930621534,,,,X
930386852,,,,X
930884929,,,,X
930800140,,,,X
930386792,,,,X
911662698,,,,X
930665396,,,,X
911854545,,X,,
930712867,,,,X
352198318,,X,,
930399051,,,,X
930569684,,,,X
931070304,,,,X
930266190,,X,,
930582004,,,,X
930573822,,,,X
931186020,,,,X
931248795,,,,X
930903773,,,,X
930471873,,,,X
930910213,,,,X
930606316,,,,X
930269331,,X,,
930686923,,,,X
931255764,,X,,
930454456,,X,,
930478660,,,,X
930241933,,X,,
943034161,,,,X
930728229,,,,X
930386791,,,,X
273445544,,,,X
936025789,,X,,
930557964,,,,X
930395815,,X,,
931180397,,,,X
930893420,,X,,
342057513,,,,X
931090005,,,,X
930738493,,,,X
931234625,,,,X
263035522,,,,X
930937286,,,,X
930567549,,,,X
510163758,,X,,
452590784,,,,X
930391547,,,,X
930495655,,,,X
273990987,,,,X
264077120,,,,X
930706892,,,,X
930782374,,X,,
931269087,,,,X
930470717,,,,X
916070467,,X,,
930984702,,,,X
930400250,,,,X
930514209,,,,X
931230223,,,,X
936021772,,X,,
936227660,,X,,
930306737,,X,,
930630002,,,,X
481291935,,,,X
272028308,,,,X
936041618,,,,X
931037330,,,,X
930867677,,,,X
930738797,,,,X
930354500,,X,,
237030910,,,,X
930806912,,,,X
930547036,,,,X
930391599,,,,X
931141536,,,,X
930554156,,,,X
930613108,,,,X
237170147,,X,,
043703021,,,,X
930623709,,,,X
931078543,,,,X
930818160,,,,X
930895184,,X,,
931300690,,,,X
930584318,,,,X
320016048,,X,,
930632048,,,,X
931134865,,,,X
930243430,,X,,
936023043,,X,,
931133639,,,,X
930843521,,,,X
936023047,,X,,
931146666,,,,X
930576732,,,,X
930828781,,,,X
930578172,,,,X
930763726,,X,,
930554950,,X,,
943076771,,,,X
930718154,,,,X
930307250,,X,,
936023044,,X,,
237153987,,,,X
930131365,,X,,
931099406,,,,X
930900577,,,,X
943074344,,,,X
237256802,,,,X
930410224,,X,,
930243687,,X,,
930814473,,,,X
930946020,,,,X
930569254,,,,X
731675402,,,,X
930333988,,X,,
237088811,,,,X
936038158,,,,X
931268942,,X,,
931009305,,,,X
930825821,,,,X
931095351,,,,X
930683413,,,,X
930903383,,,,X
930388917,,,,X
930568833,,,,X
930505956,,X,,
930394142,,,,X
936026548,,,,X
931057208,,,,X
930645605,,,,X
930146820,,X,,
911806451,,,,X
237115003,,,,X
943237145,,X,,
980162025,,,,X
930624672,,,,X
822399486,,,,X
270294759,,,,X
931050144,,,,X
930323668,,X,,
930112708,,X,,
930561977,,,,X
562546659,,X,,
930784775,,,,X
931159198,,,,X
930640525,,,,X
930625631,,,,X
237115837,,X,,
930163340,,X,,
931278639,,,,X
271643351,,,,X
943126167,,,,X
943060985,,,,X
930718337,,,,X
262499995,,,,X
930891433,,,,X
943029559,,,,X
931190983,,,,X
930386976,,,,X
436043847,,,,X
930278486,,X,,
263084386,,,,X
930575647,,,,X
931233373,,,,X
463274093,,,,X
943113836,,,,X
930368760,,X,,
930504473,,,,X
930386885,,,,X
203685723,,,,X
930513669,,,,X
930429354,,,,X
208928388,,,,X
930397825,,,,X
936050200,,,,X
930959411,,,,X
930845182,,,,X
202985223,,,,X
930725294,,,,X
930916864,,,,X
930581470,,,,X
930853709,,,,X
237169042,,,,X
930495706,,X,,
930661527,,,,X
931098105,,,,X
930189335,,X,,
930519925,,,,X
931329922,,,,X
930817076,,,,X
931149789,,,,X
930687438,,,,X
936026088,,,,X
936097406,,,,X
472845537,,,,X
936034321,,,,X
930811291,,,,X
930386875,,,,X
930686681,,,,X
930691238,,,,X
930758732,,,,X
931312090,,,,X
930563797,,,,X
931248274,,,,X
930855920,,,,X
936033807,,,,X
760751239,,,,X
930401248,,,,X
943092446,,,,X
461562797,,,,X
930725603,,,,X
930951908,,,,X
931164505,,,,X
930115390,,X,,
930605594,,,,X
930556589,,,,X
455252325,,,,X
237056213,,,,X
930966461,,,,X
930793127,,,,X
930275980,,X,,
237203564,,X,,
237017274,,,,X
931038306,,,,X
931127001,,,,X
260172758,,,,X
930509906,,,,X
930423965,,,,X
931323419,,,,X
931312955,,,,X
930425880,,,,X
462454893,,,,X
931233656,,,,X
930386901,,,,X
930232289,,X,,
931250581,,,,X
931296452,,X,,
201082052,,,,X
930584827,,,,X
931097066,,X,,
930712890,,,,X
930751741,,,,X
930589987,,,,X
930394143,,,,X
930474800,,,,X
930843383,,,,X
931249298,,,,X
460534726,,,,X
930496390,,X,,
943038729,,,,X
510175253,,,,X
930784800,,,,X
522146673,,X,,
930741267,,,,X
930681409,,,,X
930141440,,X,,
510179336,,,,X
931240928,,,,X
931315027,,,,X
820569407,,,,X
930923476,,,,X
930670856,,,,X
931084330,,,,X
237438072,,,,X
474408911,,X,,
930196216,,X,,
936002704,,,,X
931301792,,,,X
930928640,,,,X
930748388,,,,X
930388092,,X,,
931163452,,,,X
930242330,,X,,
930736825,,,,X
930784998,,,,X
237230042,,,,X
943166095,,,,X
237002687,,,,X
930409105,,,,X
593796997,,,,X
465562403,,,,X
930500679,,,,X
930196227,,X,,
931119163,,,,X
237254097,,,,X
931184647,,,,X
930817737,,,,X
931208588,,,,X
930892794,,X,,
931110874,,,,X
931004012,,,,X
926027179,,X,,
931135796,,,,X
930633354,,X,,
931060938,,,,X
930979064,,,,X
930752969,,,,X
931228509,,,,X
930836166,,,,X
916056203,,X,,
930386982,,,,X
936018523,,,,X
931057296,,,,X
931171184,,,,X
930444844,,X,,
930515597,,X,,
930865678,,X,,
931278089,,,,X
930768142,,,,X
930963546,,,,X
931068802,,X,,
931305252,,X,,
912077840,,,,X
936034757,,,,X
930804475,,,,X
204626312,,,,X
931293344,,,,X
931148608,,,,X
931051724,,,,X
930721567,,,,X
930339108,,,,X
273094382,,,,X
237121915,,,,X
471709705,,X,,
910982918,,,,X
930716519,,,,X
943084015,,,,X
931260080,,,,X
451458218,,,,X
931288657,,X,,
930803139,,X,,
820564961,,,,X
931178397,,,,X
205513684,,,,X
237061622,,,,X
931241474,,,,X
030473181,,,,X
930548870,,,,X
930818219,,,,X
383816505,,,,X
930757378,,,,X
