org_id,related_id,related_name
930223960,936087366,ASANTE FOUNDATION
930223960,201578637,SOUTHERN OREGON INSURANCE COMPANY
930223960,383849354,ASANTE PHYSICIAN PARTNERS
930933975,463264330,Health Plan of CareOregon Inc
930933975,821663503,Housecall Providers PC
930386823,237426300,LEGACY HEALTH
930386823,930386793,LEGACY GOOD SAMARITAN HOSPITAL & MEDICAL
930386823,930618975,LEGACY MERIDIAN PARK HOSPITAL
930386823,930591528,LEGACY MOUNT HOOD MEDICAL CENTER
930386823,331065485,LEGACY SALMON CREEK HOSPITAL
930386823,930848530,LEGACY VISITING NURSE ASSOCIATION
930386823,936095667,EMANUEL MEDICAL CENTER FOUNDATION
930386823,931314469,RANDALL CHILDRENS HOSPITAL FOUNDATION
930386823,237017276,GOOD SAMARITAN FOUNDATION
930386823,930773410,MERIDIAN PARK MEDICAL FOUNDATION
930386823,930794951,MT HOOD MEDICAL CENTER FOUNDATION
930386823,830433165,SALMON CREEK HOSPITAL FOUNDATION
930386823,931121816,LEGACY ADVENTIST VENTURE
930386823,465562403,LEGACY HEALTH FOUNDATION
930386823,930913392,SILVERTON HEALTH FOUNDATION
930386823,930281321,SILVERTON HEALTH
930602940,943076293,ST CHARLES FOUNDATION
930579722,237002687,SALEM HEALTH FOUNDATION
930579722,930823471,SALEM HEALTH HOSPITALS & CLINICS
930579722,431960221,SALEM HEALTH WEST VALLEY
930579722,931298564,WEST VALLEY HOSPITAL FOUNDATION
930579722,201836190,WILLAMETTE VALLEY INSURANCE COMPANY
930579722,753175249,SALEM HEALTH PROFESSIONAL SERVICES
930508781,930946020,SKY LAKES MEDICAL CENTER FOUNDATION
930508781,930946018,KLAMATH CARE SERVICES INC
930391573,930110095,ALBANY GENERAL HOSPITAL
930391573,930712890,ALBANY GENERAL HOSPITAL FOUNDATION
930391573,930900124,FIRSTCARE HEALTH FOUNDATION
930391573,930932697,FIRSTCARE MEDICAL FOUNDATION
930391573,936024034,GOOD SAMARITAN HOSPITAL AUXILIARY
930391573,237252406,GOOD SAMARITAN HOSPITAL FOUNDATION
930391573,931124326,INTERCOMMUNITY HEALTH PLANS INC
930391573,931260080,LEBANON COMMUNITY HOSPITAL FOUNDATION
930391573,930396847,MID-VALLEY HEALTHCARE INC
930391573,731668317,PARADIGM INDEMNITY CORPORATION
930391573,930951989,SAMARITAN HEALTH SERVICES INC
930391573,931305493,SAMARITAN NORTH LINCOLN HOSPITAL
930391573,931329784,SAMARITAN PACIFIC HEALTH SERVICES
930391573,931245534,SAMARITAN SENIOR CARE INC
930391573,930867677,NORTH LINCOLN HOSPITAL FOUNDATION
930951989,930110095,ALBANY GENERAL HOSPITAL
930951989,930712890,ALBANY GENERAL HOSPITAL FOUNDATION
930951989,930900124,FIRSTCARE HEALTH FOUNDATION
930951989,930932697,FIRSTCARE MEDICAL FOUNDATION
930951989,936024034,GOOD SAMARITAN HOSPITAL AUXILIARY
930951989,237252406,GOOD SAMARITAN HOSPITAL FOUNDATION
930951989,931124326,INTERCOMMUNITY HEALTH PLANS INC
930951989,931260080,LEBANON COMMUNITY HOSPITAL FOUNDATION
930951989,930396847,MID-VALLEY HEALTHCARE INC
930951989,731668317,PARADIGM INDEMNITY CORPORATION
930951989,930391573,GOOD SAMARITAN HOSPITAL CORVALLIS
930951989,931305493,SAMARITAN NORTH LINCOLN HOSPITAL
930951989,931329784,SAMARITAN PACIFIC HEALTH SERVICES
930951989,931245534,SAMARITAN SENIOR CARE INC
930951989,930603489,PACIFIC COMMUNITIES HEALTH DISTRICT
930951989,930858825,PACIFIC COMMUNITIES HEALTH DISTRICT FND
930951989,930555769,NORTH LINCOLN HEALTH DISTRICT
930951989,930867677,NORTH LINCOLN HOSPITAL FOUNDATION
930438772,930243383,OREGON DENTAL ASSOCIATION
930878074,911829317,FAMILYCARE HEALTH PLANS INC
930878074,930988354,HEATHERINGTON FOUNDATION FOR INNOVATION & EDUCATION IN HEALTHCARE FKA FCMC
930386793,237426300,LEGACY HEALTH
930386793,930386823,LEGACY EMANUEL HOSPITAL & HEALTH CENTER
930386793,930618975,LEGACY MERIDIAN PARK HOSPITAL
930386793,930591528,LEGACY MOUNT HOOD MEDICAL CENTER
930386793,331065485,LEGACY SALMON CREEK HOSPITAL
930386793,930848530,LEGACY VISITING NURSE ASSOCIATION
930386793,936095667,EMANUEL MEDICAL CENTER FOUNDATION
930386793,931314469,RANDALL CHILDRENS HOSPITAL FOUNDATION
930386793,237017276,GOOD SAMARITAN FOUNDATION
930386793,930773410,MERIDIAN PARK MEDICAL FOUNDATION
930386793,930794951,MT HOOD MEDICAL CENTER FOUNDATION
930386793,830433165,SALMON CREEK HOSPITAL FOUNDATION
930386793,931121816,LEGACY ADVENTIST VENTURE
930386793,465562403,LEGACY HEALTH FOUNDATION
930386793,930281321,SILVERTON HEALTH
930386793,930913392,SILVERTON HEALTH FOUNDATION
931124326,930110095,ALBANY GENERAL HOSPITAL
931124326,930712890,ALBANY GENERAL HOSPITAL FOUNDATION
931124326,930900124,FIRSTCARE HEALTH FOUNDATION
931124326,930932697,FIRSTCARE MEDICAL FOUNDATION
931124326,237252406,GOOD SAMARITAN HOSPITAL FOUNDATION
931124326,930391573,GOOD SAMARITAN HOSPITAL CORVALLIS
931124326,931260080,LEBANON COMMUNITY HOSPITAL FOUNDATION
931124326,930396847,MID-VALLEY HEALTHCARE INC
931124326,731668317,PARADIGM INDEMNITY CORPORATION
931124326,930951989,SAMARITAN HEALTH SERVICES INC
931124326,931305493,SAMARITAN NORTH LINCOLN HOSPITAL
931124326,931329784,SAMARITAN PACIFIC HEALTH SERVICES
931124326,931245534,SAMARITAN SENIOR CARE INC
931124326,930867677,NORTH LINCOLN HOSPITAL FOUNDATION
237315673,931046399,OCF Joseph E Weston Public Foundation
237315673,931282671,Wieden Family Public Foundation
237315673,931235731,Sid and Karen DeBoer Foundation
237315673,931261580,Peter W Stott Foundation
237315673,972459165,Robert & Leona DeArmond Public Foundation
237315673,433083519,The Gray Family Foundation
237315673,467059268,The Oregon Community Foundation Trust
237315673,822399486,Niemeyer Foundation
930429015,953484589,Adventist Health SystemWest
930429015,680395149,Adventist Health Clearlake Hospital Inc
930429015,990107330,Castle Medical Center
930429015,941101228,Feather River Hospital
930429015,951816017,Glendale Adventist Medical Center
930429015,940535360,Hanford Community Hospital
930429015,680108919,Willits Hospital Inc
930429015,951816034,Paradise Valley Hospital
930429015,941279779,St Helena Hospital
930429015,952294234,San Joaquin Community Hospital
930429015,956064971,Simi Valley Hospital & Hlth Care Svcs
930429015,941415069,Sonora Community Hospital
930429015,930622075,Northwest Medical Fnd of Tillamook
930429015,941639901,Ukiah Adventist Hospital
930429015,910617726,Walla Walla General Hospital
930429015,952282647,White Memorial Medical Center
930429015,453220509,Adventist Health Reedley Hospital
930429015,680357690,Adventist Health Physicians Network
930429015,953867863,Western Health Resources
930429015,941044474,Lodi Memorial Hospital Association Inc
930429015,812240617,Adventist Hlth Medical Ctr Tehachapi
936021475,930196193,JOINT COUNCIL OF TEAMSTERS NO 37
936021475,930236781,INT'L BROTHERHOOD OF TEAMSTERS UNION LOCAL NO 962
936021475,820171930,GENERAL TEAMSTERS LOCAL 483
936021475,930196206,INTL BROTHERHOOD OF TEAMSTERS LOCAL 324
936021475,930151383,DAIRY BAKERY & FOOD PROCESSORS IND TECH & AUTO LOCAL NO 305
936021475,930179776,INTL BROTHERHOOD OF TEAMSTERS LOCAL 223
936021475,930196219,GENERAL TEAMSTERS AUTO TRUCK DRIVERS & HELPERS LOCAL NO 162
936021475,930438697,LINE DRIVERS LOCAL PICKUP & DELIVERY LOCAL UNION NO 81
936021475,910436963,CHAUFFEURS TEAMSTERS & HELPERS LOCAL 58
911148123,931315010,Mercy Enterprise Corporation
911148123,271113758,Mercy Corps Condominiums Unit Owners Association
911148123,911352257,Mercy Corps Foundation
911148123,,Asian Credit Fund PF
911148123,,Kompanion Development
911148123,,Mercy Corps Europe
911148123,,PATRA Hunchun
911148123,472790772,Plaza 122 Community Investment LLC
911148123,,PATRA Tumen River
237426300,930386823,LEGACY EMANUEL HOSPITAL & HEALTH CENTER
237426300,930386793,LEGACY GOOD SAMARITAN HOSPITAL & MEDICAL
237426300,930618975,LEGACY MERIDIAN PARK HOSPITAL
237426300,930591528,LEGACY MOUNT HOOD MEDICAL CENTER
237426300,331065485,LEGACY SALMON CREEK HOSPITAL
237426300,930848530,LEGACY VISITING NURSE ASSOCIATION
237426300,936095667,EMANUEL MEDICAL CENTER FOUNDATION
237426300,931314469,RANDALL CHILDRENS HOSPITAL FOUNDATION
237426300,237017276,GOOD SAMARITAN FOUNDATION
237426300,930773410,MERIDIAN PARK MEDICAL FOUNDATION
237426300,930794951,MT HOOD MEDICAL CENTER FOUNDATION
237426300,830433165,SALMON CREEK HOSPITAL FOUNDATION
237426300,931121816,LEGACY ADVENTIST VENTURE
237426300,465562403,LEGACY HEALTH FOUNDATION
237426300,930281321,SILVERTON HEALTH
237426300,930913392,SILVERTON HEALTH FOUNDATION
237017278,,see part vii
930386908,200779531,Odyssey Property Holdings Inc
936023048,,CENTRAL TRAINING TRUST JATC
936023048,,CRATER LAKE TRAINING TRUST JATC
936023048,,IBEW
936023048,,IBEW SJ CASCADE FEDERAL CREDIT UN
936023048,,IBEW 280
936023048,,IBEW 48
936023048,,IBEW 932
936023048,,IBEW FEDERAL CREDIT UNION
936023048,,LOCAL UNION 280 LMCC
936023048,,LOCAL UNION 659 LMCC
936023048,,NECA-IBEW ELECTRICAL TRAINING CENTE
936023048,,OREGON AFL-CIO
936023048,,PORT OF PORTLAND
936023048,,PORT OF VANCOUVER
936023048,,SOUTHWESTERN OR TRAINING TRUST
930401259,841172799,Northwest Academic Computing Consortium Inc
930401259,203770321,Friends of Saturday Academy
930618975,237426300,LEGACY HEALTH
930618975,930386823,LEGACY EMANUEL HOSPITAL & HEALTH CENTER
930618975,930386793,LEGACY GOOD SAMARITAN HOSPITAL & MEDICAL
930618975,930591528,LEGACY MOUNT HOOD MEDICAL CENTER
930618975,331065485,LEGACY SALMON CREEK HOSPITAL
930618975,930848530,LEGACY VISITING NURSE ASSOCIATION
930618975,936095667,EMANUEL MEDICAL CENTER FOUNDATION
930618975,931314469,RANDALL CHILDRENS HOSPITAL FOUNDATION
930618975,237017276,GOOD SAMARITAN FOUNDATION
930618975,930773410,MERIDIAN PARK MEDICAL FOUNDATION
930618975,930794951,MT HOOD MEDICAL CENTER FOUNDATION
930618975,830433165,SALMON CREEK HOSPITAL FOUNDATION
930618975,931121816,LEGACY ADVENTIST VENTURE
930618975,465562403,LEGACY HEALTH FOUNDATION
930618975,930281321,SILVERTON HEALTH
930618975,930913392,SILVERTON HEALTH FOUNDATION
936015767,461574842,U OF O FOUNDATION SUPPORTING ORGANIZATION
463264330,930933975,CareOregon Inc
463264330,821663503,Housecall Providers PC
931192140,930645546,POWER RESOURCES COOPERATIVE
930386868,470765154,ALEGENT CREIGHTON CLINIC
930386868,470757164,ALEGENT CREIGHTON HEALTH
930386868,470648586,ALEGENT CREIGHTON HEALTH FOUNDATION
930386868,470484764,ALEGENT HEALTH - BERGAN MERCY HEALTH SYSTEM
930386868,420776568,ALEGENT HEALTH - COMMUNITY MEMORIAL HOSPITAL OF MISSOURI VALLEY IA
930386868,470376615,ALEGENT HEALTH - IMMANUEL MEDICAL CENTER
930386868,470399853,ALEGENT HEALTH - MEMORIAL HOSPITAL SCHUYLER
930386868,420782518,ALEGENT HEALTH - MERCY HOSPITAL CORNING IOWA
930386868,411351177,ALVERNA APARTMENTS
930386868,411850500,APPLETREE COURT
930386868,274499340,BAYLOR ST LUKE'S HEALTH VENTURES
930386868,760458535,BAYLOR ST LUKE'S MEDICAL GROUP
930386868,274005511,BELLEVILLE ST JOSEPH HEALTH CENTER
930386868,420725196,BISHOP DRUMM RETIREMENT CENTER
930386868,232187242,BORNEMANN HEALTHCARE CORPORATION
930386868,760080110,BRAZOSPORT HEALTH FOUNDATION INC
930386868,800240261,BRAZOSPORT REGIONAL PHYSICIAN SERVICES
930386868,742759890,BURLESON ST JOSEPH HEALTH CENTER
930386868,742913931,BURLESON ST JOSEPH MANOR
930386868,450227311,CARRINGTON HEALTH CENTER
930386868,840405257,CATHOLIC HEALTH INITIATIVES - COLORADO
