ein,state
455093195,OR
930223960,OR
930933975,OR
930386823,OR
930602940,OR
930579722,OR
930508781,OR
930391573,OR
930951989,OR
930438772,OR
930878074,OR
930386793,OR
931124326,OR
930257765,OR
237315673,OR
930429015,OR
936021475,OR
911148123,OR
237426300,OR
237017278,OR
930386908,OR
936023048,OR
930401259,OR
930618975,OR
936015767,OR
930386858,OR
463264330,OR
931192140,OR
930806316,OR
930386868,OR
930430029,OR
930386840,OR
930110095,OR
930386892,OR
936026156,OR
931313663,OR
930386839,OR
237083114,OR
364742731,OR
936022772,OR
930386972,OR
930591528,OR
930686108,OR
930583856,OR
943237150,OR
930391586,OR
936021111,OR
930396847,OR
930453216,OR
930386936,OR
930281321,OR
930300375,OR
911791788,OR
930505325,OR
930425580,OR
931329784,OR
936090239,OR
930728816,OR
931143759,OR
030373895,OR
930492535,OR
930391591,OR
930622075,OR
930391614,OR
936041903,OR
930163693,OR
930757655,OR
271789847,OR
936021113,OR
930251640,OR
930785786,OR
930770054,OR
936021893,OR
931305493,OR
383849354,OR
930389726,OR
930444581,OR
930717997,OR
931179254,CA
936024141,OR
930591240,OR
930243503,OR
930958642,OR
931300043,OR
930878944,OR
936024307,OR
930468214,OR
200195556,OR
930814638,OR
930415219,OR
300179374,OR
943092928,OR
931046399,OR
911829317,OR
936029224,OR
930502822,OR
930232310,OR
731668317,OR
930465543,OR
941312349,OR
930468003,OR
930619733,OR
930454786,OR
930804385,OR
930386966,OR
810609831,OR
930407022,OR
930988354,OR
237108002,OR
930386780,OR
930473211,OR
711016384,OR
930386804,OR
931228867,OR
930146827,OR
916034674,AK
930323147,OR
931329158,OR
342030255,WA
931326405,OR
936031270,OR
910973983,OR
202587840,OR
930977878,OR
271790052,OR
461574842,OR
930572370,OR
930421470,OR
936087366,OR
510480478,OR
943096772,OR
930463816,OR
273146613,OR
431960221,OR
930980637,OR
930402877,OR
510204735,OR
930243443,OR
931268744,OR
263946191,OR
930513697,OR
936049213,OR
911829325,OR
930386981,OR
930309970,OR
931067253,OR
930386880,OR
911833480,OR
237113266,OR
930611783,OR
946667029,OR
237332778,OR
237257390,OR
930477890,OR
526038494,OR
930354176,OR
930723862,OR
930433696,OR
930554941,OR
930857426,OR
936031208,OR
930579589,OR
237056987,OR
930634049,OR
930806295,OR
930391604,OR
931215381,OR
930746782,OR
930756143,OR
930605570,OR
930509414,OR
826030679,OR
930752805,OR
930582124,OR
931139187,OR
470927354,OR
237098400,OR
931019725,OR
930753926,OR
930177555,OR
930446527,OR
930792758,OR
270745672,OR
930415213,OR
931014288,OR
931229227,OR
800875249,OR
930461940,OR
930910794,OR
943192331,OR
930498054,OR
930628804,OR
930977166,OR
911943624,OR
930716860,OR
930553346,OR
930464898,OR
930398802,OR
930801200,OR
930512235,OR
930395591,OR
930591582,OR
930558819,OR
237366812,OR
261168995,OR
930386890,OR
930848530,OR
930630376,OR
930813981,OR
930587136,OR
930134820,OR
930608012,OR
930196209,OR
237017276,OR
930564896,OR
930685734,OR
921069936,OR
931086629,OR
930564141,OR
930644303,OR
273524752,OR
521957214,OR
936028906,OR
930888347,OR
930713827,OR
930571472,OR
931244750,OR
930557803,OR
930621534,OR
930386852,OR
930884929,OR
930800140,OR
930386792,OR
911662698,OR
930665396,OR
911854545,OR
930712867,OR
352198318,OR
930399051,OR
930569684,OR
931070304,OR
930266190,OR
930582004,OR
930573822,OR
931186020,OR
931248795,OR
461237162,OR
930903773,OR
566502391,OR
930471873,OR
930910213,OR
272624875,OR
930606316,OR
930269331,OR
930686923,OR
931255764,OR
753098324,OR
930454456,OR
930478660,OR
930241933,OR
943034161,OR
930728229,OR
930386791,OR
273445544,OR
936025789,OR
930557964,OR
930395815,OR
931180397,OR
930893420,OR
342057513,OR
931090005,OR
930738493,OR
931234625,OR
263035522,OR
931254171,OR
930937286,OR
930567549,OR
510163758,OR
452590784,OR
930391547,OR
930495655,OR
273990987,OR
264077120,OR
930706892,OR
930782374,OR
237423789,OR
931269087,OR
930470717,OR
916070467,OR
930984702,OR
930400250,OR
930514209,OR
931230223,OR
936021772,OR
936227660,OR
930306737,OR
930630002,OR
481291935,OR
272028308,OR
936041618,OR
931037330,OR
930867677,OR
930738797,OR
930354500,OR
237030910,OR
930806912,OR
930547036,OR
930391599,OR
475373459,OR
931141536,OR
930554156,OR
930613108,OR
237170147,OR
043703021,OR
930623709,OR
931078543,OR
930818160,OR
931200088,OR
930895184,OR
931300690,OR
930584318,OR
320016048,OR
930632048,OR
931134865,OR
226930631,OR
930243430,OR
936023043,OR
931133639,OR
930843521,OR
815366149,OR
936023047,OR
931146666,OR
930576732,OR
930828781,OR
930578172,OR
930763726,OR
930554950,OR
943076771,OR
930718154,OR
930307250,OR
936023044,OR
237153987,OR
930131365,OR
931099406,OR
930900577,OR
943074344,OR
237256802,OR
930410224,OR
930243687,OR
930814473,OR
930946020,OR
930569254,OR
731675402,OR
930333988,OR
237088811,OR
936038158,OR
931268942,OR
931009305,OR
930825821,OR
931095351,OR
930683413,OR
