,year,ein,object_id,taxpayer_name,form,source,compensation,INCOME_AMT,ASSET_AMT,REVENUE_AMT,TAX_PERIOD_y,NTEE_CD
4606,2018,263736741,201942209349301369,OREGON CHIROPRACTIC ASSOCIATION,IRS990,part_i,116161.0,436728.0,82889.0,436728.0,201812.0,S41
6198,2018,931318366,201942209349300229,COOS ELDERLY SERVICES INC,IRS990,part_i,164263.0,242576.0,477348.0,242576.0,201812.0,P50
9594,2018,930694668,201942209349200539,PORTHOLE PLAYERS LTD,IRS990EZ,ez_part_i,,79426.0,136515.0,79426.0,201812.0,A650
5474,2018,930160415,201942139349301229,OPERATIVE PLASTERERS AND CEMENT MASON AFL-CIO LOCAL 82,IRS990,part_i,137948.0,313541.0,535629.0,313541.0,201903.0,
8308,2018,200070040,201942139349301124,BRIDGE HOUSING CORPORATION,IRS990,part_i,0.0,119725.0,1219181.0,119725.0,201812.0,L20
12588,2018,930589575,201942139349301109,VILLA NORTH INC,IRS990,part_i,0.0,3606.0,46455.0,3470.0,201903.0,
9672,2018,931304909,201942139349200534,SUMMIT HIGH SCHOOL BOOSTER CLUB,IRS990EZ,ez_part_i,,77497.0,19362.0,53321.0,201906.0,A116
2764,2018,930387759,201942129349301034,OREGON OPTOMETRIC PHYSICIANS ASSOCIATION,IRS990,part_i,197645.0,1091789.0,1122599.0,622807.0,201812.0,
10174,2018,931166798,201942129349200129,DESTINY MINISTRIES,IRS990EZ,ez_part_i,38394.0,65988.0,4362.0,65988.0,201812.0,X20
2394,2018,936017100,201942119349301024,PENDLETON FOUNDATION TRUST,IRS990,part_i,0.0,1404703.0,5395704.0,720571.0,201812.0,T11
10338,2018,201630000,201942119349200514,SCAPPOOSE SOCCER CLUB,IRS990EZ,ez_part_i,,62227.0,125499.0,62227.0,201904.0,N64
12362,2018,822760935,201942119349200219,KEIZER-SALEM YOUTH BASKETBALL ASSOC,IRS990EZ,ez_part_i,,9944.0,1622.0,8299.0,201806.0,O50
7132,2018,452508860,201942119349200129,MIRABELLA PORTLAND FOUNDATION INC,IRS990EZ,ez_part_i,,172518.0,390398.0,172518.0,201809.0,P80
2170,2018,931029808,201942109349301239,MCKENZIE RIVER TRUST,IRS990,part_i,854381.0,1679837.0,9698859.0,1566177.0,201812.0,C340
4482,2018,473355131,201942109349300534,WOMEN IN RESEARCH LTD,IRS990,part_i,181681.0,461115.0,167000.0,460824.0,201812.0,W70
9948,2018,936033187,201942109349200244,VILLAGE GALLERY OF ARTS,IRS990EZ,ez_part_i,,71091.0,37846.0,69858.0,201903.0,
