,year,ein,object_id,taxpayer_name,compensation
4256,2018,263736741,201942209349301369,OREGON CHIROPRACTIC ASSOCIATION,116161
5718,2018,931318366,201942209349300229,COOS ELDERLY SERVICES INC,164263
5044,2018,930160415,201942139349301229,OPERATIVE PLASTERERS AND CEMENT MASON AFL-CIO LOCAL 82,137948
6692,2018,200070040,201942139349301124,BRIDGE HOUSING CORPORATION,0
7312,2018,930589575,201942139349301109,VILLA NORTH INC,0
2570,2018,930387759,201942129349301034,OREGON OPTOMETRIC PHYSICIANS ASSOCIATION,197645
2246,2018,936017100,201942119349301024,PENDLETON FOUNDATION TRUST,0
2036,2018,931029808,201942109349301239,MCKENZIE RIVER TRUST,854381
4140,2018,473355131,201942109349300534,WOMEN IN RESEARCH LTD,181681
3038,2018,204151057,201942079349300239,A FAMILY FOR EVERY CHILD,363557
5098,2018,931011604,201942069349301169,PREGNANCY ALTERNATIVES CENTER DBA OBRIA MEDICAL CLINICS OREGON,204362
6728,2018,936207748,201942049349300934,CENTRAL OREGON COMMUNITY COLLEGE MEMORIAL EDUCATION FUND 301012,0
2546,2018,931032986,201942049349300849,ROSEBURG ROTARY FOUNDATION,0
2450,2018,202427855,201941979349300809,MEDERI FOUNDATION,603252
2650,2018,936213036,201941969349302554,AREA I PLUMBERS JATC APPRENTICESHIP TR F,0
6944,2018,936034549,201941969349302519,MT HOOD SKI PATROL INC,0
6314,2018,133060669,201941969349300119,FRIENDS OF THE TONY PATINO FELLOWSHIP INC,0
6266,2018,900408573,201941959349300104,WEST LINN HIGH SCHOOL BASEBALL ALUMNI ASSN INC,0
1526,2018,930999999,201941939349300724,FRIENDS OF TREES,1569504
4398,2018,472268814,201941929349301134,FIRST WHIP FOOLS,0
2268,2018,943360737,201941929349300344,B-WORD WORLDWIDE INC BITCH MEDIA,673491
3250,2018,510154995,201941919349301084,HOOD RIVER SENIOR CITIZENS INC,195406
4564,2018,911259419,201941919349300534,HANSLER RANCH ASSOCIATION,0
4788,2018,936032742,201941909349301304,ORAL HULL FOUNDATION FOR THE BLIND,267745
2486,2018,510157168,201941909349301154,OREGON STATE SNOWMOBILE ASSOCIATION,78717
742,2018,930386976,201941899349301079,YOUNG MENS CHRISTIAN ASSOCIATION OF ASHLAND,2050131
1534,2018,464704743,201941899349300214,DRESSEMBER FOUNDATION,190349
4476,2018,930575301,201941889349300004,BENEVOLENT AND PROTECTIVE ORDER OF ELKS,35881
3044,2018,943218650,201941849349301204,ACCESS TECHNOLOGIES INC,382231
3396,2018,930557517,201941799349301214,PORTLAND ASSOCIATION OF TEACHERS INC,245693
5100,2018,930999442,201941799349300959,HELLS CANYON PRESERVATION COUNCIL INC,234984
4708,2018,936025596,201941789349300889,OSTEOPATHIC PHYSICIANS AND SURGEONS OF OREGON,166095
3100,2018,208035378,201941789349300749,BOYS AND GIRLS CLUB OF WESTERN TREASURE VALLEY,438309
5874,2018,262713779,201941789349300729,CHRIST SANCTUARY INTERNATIONAL,0
1774,2018,930344910,201941789349300709,ROSEBURG COUNTRY CLUB,471637
1820,2018,521938720,201941789349300549,NATIONAL DRY BEAN COUNCIL,0
5268,2018,300137313,201941719349300229,WILDLIFE WARRIORS USA INC,47924
3498,2018,930617863,201941689349300639,PACIFIC NORTHWEST CHAPTER OF ASSOCIATED BUILDERS AND CONTRACTORS INC,18100
4604,2018,936025585,201941689349300634,OREGON CLUB OF EUGENE-SPRINGFIELD,37126
526,2018,273990987,201941639349301059,FOODCORPS INC,11459884
3636,2018,930122405,201941639349300049,BENEVOLENT AND PROTECTIVE ORDER OF ELKS OF THE UNITED STATES OF AMERICA,48590
4412,2018,936024129,201941629349300649,OREGON SCOTTISH RITE EDUCATION FOUNDATION INC,0
3104,2018,930776616,201941619349300729,PORTLAND GAY MENS CHORUS,257915
7314,2018,831777742,201941599349300404,KADIMA ANIMAL SANCTUARY INC,0
4436,2018,261535453,201941589349300334,CENTER FOR RENEWABLE ENERGY AND APPROPRIATE TECHNOLOGY FOR THE ENVI,199670
4050,2018,930297249,201941589349300024,TILLAMOOK LODGE 1437 BPOE,88134
5196,2018,930826652,201941559349300969,DOWNTOWN BEND BUSINESS ASSOCIATION,130836
968,2018,930388092,201941559349300509,columbia power cooperative association,384459
2392,2018,930169132,201941549349301119,LABORERS INTERNATIONAL UNION LOCAL 483,575641
7032,2018,930567668,201941549349300849,ORDER OF THE ANTELOPE FOUNDATION,0
6224,2018,931006901,201941519349301404,NEIGHBORS HELPING NEIGHBORS,0
4800,2018,113097675,201941519349300824,INTL ALUMI ASSN OF SHRI MAHAVIR,0
2042,2018,931205916,201941519349300719,INSTITUTE FOR WORLD EVANGELIZATION,15390
1030,2018,930386982,201941519349300614,FAMILY YOUNG MENS CHRISTIAN ASSOCIATION OF MARION AND POLK COUNTIES,2499638
5770,2018,474996726,201941519349300149,IN OUR BACKYARD,124053
4538,2018,455100719,201941509349300929,REBECCA BENDER INITIATIVE,233335
2876,2018,201234712,201941509349300444,KAIROS CHURCH PLANTING SUPPORT,608901
7106,2018,930958235,201941489349300679,EAST COUNTY ALANO CLUB INC,0
2696,2018,930716906,201941429349301249,OREGON AUTOMOBILE DEALERS ASSOCIATION INC,87010
7088,2018,237145928,201941419349301659,INDEPENDENT ORDER OF ODD FELLOWS 78 GOLDEN RULE,3555
1254,2018,930386984,201941379349301109,YWCA OF GREATER PORTLAND,1256611
6818,2018,203636934,201941369349301204,CLAYTON AND LOREE FOX FFA ENHANCEMENT FOUNDATION,0
4202,2018,133929315,201941369349301044,21ST CENTURY CARDIOTHORACIC SURGICAL SOCIETY,0
3870,2018,930683005,201941369349300704,OREGON STUDENT ASSOCIATION,414891
3168,2018,930667383,201941359349314419,REGIS HIGH SCHOOL FOUNDATION,106822
3102,2018,272151955,201941359349313569,ELEVATE OREGON,645439
4200,2018,271265550,201941359349313359,CLEAN WATER INSTITUTE,0
2800,2018,471364469,201941359349313189,MCMINNVILLE CHRISTIAN ACADEMY,728091
6410,2018,200646954,201941359349313119,DOWNTOWN LANGUAGES,195160
4294,2018,930684067,201941359349313054,RUBY PEAK SPRINKLER ASSOCIATION INC,0
6672,2018,200047050,201941359349313014,PAYE INC,0
6024,2018,593813059,201941359349312734,JEFFERSON REGIONAL HEALTH ALLIANCE,71765
1608,2018,931200323,201941359349311989,SEVEN PEAKS SCHOOL,1994920
7118,2018,593541644,201941359349311979,INDOOR BILLBOARD ADVERTISING A,0
880,2018,930423965,201941359349311529,ARC OF LANE COUNTY,3988295
322,2018,930605570,201941359349311444,NORTHWEST HUMAN SERVICES INC,13881433
7286,2018,943115733,201941359349311429,CLUB WEST WRESTLING INC,14459
386,2018,261168995,201941359349311084,OREGON VIRTUAL ACADEMY,7217640
4944,2018,943138410,201941359349311014,SODA MOUNTAIN WILDERNESS COUNCIL INC,134158
6812,2018,272595437,201941359349310864,ONTARIO FERAL CAT PROJECT,0
1740,2018,930471981,201941359349310784,OREGON AFL-CIO,1581297
3088,2018,201760894,201941359349310674,READING RESULTS,725003
3956,2018,475181333,201941359349310524,PORTLAND CHARTER PARTNERS,65170
6020,2018,721583726,201941359349310459,NETWORK OF ENSEMBLE THEATERS INC,200724
1452,2018,930711337,201941359349310269,OREGON 4-H FOUNDATION,201900
2684,2018,931058134,201941359349310129,WILLAMETTE VALLEY CHRISTIAN SCHOOL,586287
