,org_id,or_org,related_id,related_name
0,930223960,1,936087366,ASANTE FOUNDATION
1,930223960,0,201578637,SOUTHERN OREGON INSURANCE COMPANY
2,930223960,1,383849354,ASANTE PHYSICIAN PARTNERS
3,930933975,1,463264330,Health Plan of CareOregon Inc
4,930933975,0,821663503,Housecall Providers PC
5,930386823,1,237426300,LEGACY HEALTH
6,930386823,1,930386793,LEGACY GOOD SAMARITAN HOSPITAL & MEDICAL
7,930386823,1,930618975,LEGACY MERIDIAN PARK HOSPITAL
8,930386823,1,930591528,LEGACY MOUNT HOOD MEDICAL CENTER
9,930386823,0,331065485,LEGACY SALMON CREEK HOSPITAL
10,930386823,1,930848530,LEGACY VISITING NURSE ASSOCIATION
11,930386823,1,936095667,EMANUEL MEDICAL CENTER FOUNDATION
12,930386823,1,931314469,RANDALL CHILDRENS HOSPITAL FOUNDATION
13,930386823,1,237017276,GOOD SAMARITAN FOUNDATION
14,930386823,1,930773410,MERIDIAN PARK MEDICAL FOUNDATION
15,930386823,1,930794951,MT HOOD MEDICAL CENTER FOUNDATION
16,930386823,1,830433165,SALMON CREEK HOSPITAL FOUNDATION
17,930386823,1,931121816,LEGACY ADVENTIST VENTURE
18,930386823,1,465562403,LEGACY HEALTH FOUNDATION
19,930386823,1,930913392,SILVERTON HEALTH FOUNDATION
20,930386823,1,930281321,SILVERTON HEALTH
21,930602940,1,943076293,ST CHARLES FOUNDATION
22,930579722,1,237002687,SALEM HEALTH FOUNDATION
23,930579722,1,930823471,SALEM HEALTH HOSPITALS & CLINICS
24,930579722,1,431960221,SALEM HEALTH WEST VALLEY
25,930579722,1,931298564,WEST VALLEY HOSPITAL FOUNDATION
26,930579722,0,201836190,WILLAMETTE VALLEY INSURANCE COMPANY
27,930579722,1,753175249,SALEM HEALTH PROFESSIONAL SERVICES
28,930508781,1,930946020,SKY LAKES MEDICAL CENTER FOUNDATION
29,930508781,0,930946018,KLAMATH CARE SERVICES INC
30,930391573,1,930110095,ALBANY GENERAL HOSPITAL
31,930391573,1,930712890,ALBANY GENERAL HOSPITAL FOUNDATION
32,930391573,1,930900124,FIRSTCARE HEALTH FOUNDATION
33,930391573,0,930932697,FIRSTCARE MEDICAL FOUNDATION
34,930391573,1,936024034,GOOD SAMARITAN HOSPITAL AUXILIARY
35,930391573,1,237252406,GOOD SAMARITAN HOSPITAL FOUNDATION
36,930391573,1,931124326,INTERCOMMUNITY HEALTH PLANS INC
37,930391573,1,931260080,LEBANON COMMUNITY HOSPITAL FOUNDATION
38,930391573,1,930396847,MID-VALLEY HEALTHCARE INC
39,930391573,1,731668317,PARADIGM INDEMNITY CORPORATION
40,930391573,1,930951989,SAMARITAN HEALTH SERVICES INC
41,930391573,1,931305493,SAMARITAN NORTH LINCOLN HOSPITAL
42,930391573,1,931329784,SAMARITAN PACIFIC HEALTH SERVICES
43,930391573,0,931245534,SAMARITAN SENIOR CARE INC
44,930391573,1,930867677,NORTH LINCOLN HOSPITAL FOUNDATION
45,930951989,1,930110095,ALBANY GENERAL HOSPITAL
46,930951989,1,930712890,ALBANY GENERAL HOSPITAL FOUNDATION
47,930951989,1,930900124,FIRSTCARE HEALTH FOUNDATION
48,930951989,0,930932697,FIRSTCARE MEDICAL FOUNDATION
49,930951989,1,936024034,GOOD SAMARITAN HOSPITAL AUXILIARY
50,930951989,1,237252406,GOOD SAMARITAN HOSPITAL FOUNDATION
51,930951989,1,931124326,INTERCOMMUNITY HEALTH PLANS INC
52,930951989,1,931260080,LEBANON COMMUNITY HOSPITAL FOUNDATION
53,930951989,1,930396847,MID-VALLEY HEALTHCARE INC
54,930951989,1,731668317,PARADIGM INDEMNITY CORPORATION
55,930951989,1,930391573,GOOD SAMARITAN HOSPITAL CORVALLIS
56,930951989,1,931305493,SAMARITAN NORTH LINCOLN HOSPITAL
57,930951989,1,931329784,SAMARITAN PACIFIC HEALTH SERVICES
58,930951989,0,931245534,SAMARITAN SENIOR CARE INC
59,930951989,0,930603489,PACIFIC COMMUNITIES HEALTH DISTRICT
60,930951989,1,930858825,PACIFIC COMMUNITIES HEALTH DISTRICT FND
61,930951989,0,930555769,NORTH LINCOLN HEALTH DISTRICT
62,930951989,1,930867677,NORTH LINCOLN HOSPITAL FOUNDATION
63,930438772,1,930243383,OREGON DENTAL ASSOCIATION
64,930878074,1,911829317,FAMILYCARE HEALTH PLANS INC
65,930878074,1,930988354,HEATHERINGTON FOUNDATION FOR INNOVATION & EDUCATION IN HEALTHCARE FKA FCMC
66,930386793,1,237426300,LEGACY HEALTH
67,930386793,1,930386823,LEGACY EMANUEL HOSPITAL & HEALTH CENTER
68,930386793,1,930618975,LEGACY MERIDIAN PARK HOSPITAL
69,930386793,1,930591528,LEGACY MOUNT HOOD MEDICAL CENTER
70,930386793,0,331065485,LEGACY SALMON CREEK HOSPITAL
71,930386793,1,930848530,LEGACY VISITING NURSE ASSOCIATION
72,930386793,1,936095667,EMANUEL MEDICAL CENTER FOUNDATION
73,930386793,1,931314469,RANDALL CHILDRENS HOSPITAL FOUNDATION
74,930386793,1,237017276,GOOD SAMARITAN FOUNDATION
75,930386793,1,930773410,MERIDIAN PARK MEDICAL FOUNDATION
76,930386793,1,930794951,MT HOOD MEDICAL CENTER FOUNDATION
77,930386793,1,830433165,SALMON CREEK HOSPITAL FOUNDATION
78,930386793,1,931121816,LEGACY ADVENTIST VENTURE
79,930386793,1,465562403,LEGACY HEALTH FOUNDATION
80,930386793,1,930281321,SILVERTON HEALTH
81,930386793,1,930913392,SILVERTON HEALTH FOUNDATION
82,931124326,1,930110095,ALBANY GENERAL HOSPITAL
83,931124326,1,930712890,ALBANY GENERAL HOSPITAL FOUNDATION
84,931124326,1,930900124,FIRSTCARE HEALTH FOUNDATION
85,931124326,0,930932697,FIRSTCARE MEDICAL FOUNDATION
86,931124326,1,237252406,GOOD SAMARITAN HOSPITAL FOUNDATION
87,931124326,1,930391573,GOOD SAMARITAN HOSPITAL CORVALLIS
88,931124326,1,931260080,LEBANON COMMUNITY HOSPITAL FOUNDATION
89,931124326,1,930396847,MID-VALLEY HEALTHCARE INC
90,931124326,1,731668317,PARADIGM INDEMNITY CORPORATION
91,931124326,1,930951989,SAMARITAN HEALTH SERVICES INC
92,931124326,1,931305493,SAMARITAN NORTH LINCOLN HOSPITAL
93,931124326,1,931329784,SAMARITAN PACIFIC HEALTH SERVICES
94,931124326,0,931245534,SAMARITAN SENIOR CARE INC
95,931124326,1,930867677,NORTH LINCOLN HOSPITAL FOUNDATION
96,237315673,1,931046399,OCF Joseph E Weston Public Foundation
97,237315673,1,931282671,Wieden Family Public Foundation
98,237315673,1,931235731,Sid and Karen DeBoer Foundation
99,237315673,1,931261580,Peter W Stott Foundation
100,237315673,0,972459165,Robert & Leona DeArmond Public Foundation
101,237315673,0,433083519,The Gray Family Foundation
102,237315673,1,467059268,The Oregon Community Foundation Trust
103,237315673,1,822399486,Niemeyer Foundation
104,930429015,0,953484589,Adventist Health SystemWest
105,930429015,0,680395149,Adventist Health Clearlake Hospital Inc
106,930429015,0,990107330,Castle Medical Center
107,930429015,0,941101228,Feather River Hospital
108,930429015,0,951816017,Glendale Adventist Medical Center
109,930429015,0,940535360,Hanford Community Hospital
110,930429015,0,680108919,Willits Hospital Inc
111,930429015,0,951816034,Paradise Valley Hospital
112,930429015,0,941279779,St Helena Hospital
