,EIN,SEC_NAME,FRCD,SUBSECCD,TAXPER,ASSETS,INCOME,NAME,ADDRESS,CITY,STATE,NTEECONF,NTEEFINAL,NAICS,ZIP5,OUTNCCS,OUTREAS,RULEDATE,FIPS,FNDNCD,PMSA,MSA_NECH,CASSETS,CFINSRC,CTAXPER,CTOTREV,ACCPER,RANDNUM,NTEECC,NTEE1,LEVEL4,LEVEL1,NTMAJ10,MAJGRPB,LEVEL3,LEVEL2,NTMAJ12,NTMAJ5,FILER,ZFILER
5964,10726380,,10,3,201712.0,124854.0,64015.0,BRIGHT FUTURES FOUNDATIONS,PO BOX 248,MURPHY,OR,,Q30,813311.0,97533.0,IN,,200305,41033.0,15,,,162154.0,16eofinextractez.dat,201512.0,148030.0,12.0,0.3371648112767467,Q30,Q,Q,PC,IN,Q,IN,O,IN,OT,Y,N
6380,10755594,,10,3,201708.0,238378.0,308848.0,SCHOOL GARDEN PROJECT OF LANE COUNTY,PO BOX 30072,EUGENE,OR,,C42,813410.0,97403.0,IN,,200303,41039.0,15,,2400.0,99606.0,16eofinextractez.dat,201508.0,176889.0,8.0,0.6217161047191466,C42,C,C,PC,EN,C,EN,O,EN,OT,Y,N
6537,10765884,,10,3,201706.0,616925.0,1706844.0,NORTH CLACKAMAS CHRISTIAN SCHOOL,19575 SEBASTIAN WAY,OREGON CITY,OR,,B20,611110.0,97045.0,IN,,200411,41005.0,11,6440.0,6442.0,596251.0,16eofinextract990.dat,201606.0,1569112.0,6.0,0.7234489376762073,B20,B,B,PC,ED,B,ED,O,ED,ED,Y,N
6672,10777882,,10,3,201712.0,2534730.0,195830.0,COMMUNITY HOUSING III INC,4150 SW MOODY AVE,PORTLAND,OR,,L20,624229.0,97239.0,IN,,200308,41051.0,15,6440.0,6442.0,2709750.0,16eofinextract990.dat,201512.0,154486.0,12.0,0.6087589318510851,L20,L,L,PC,HU,L,HS,O,HU,HU,Y,N
7756,10862616,,60,3,201612.0,42054.0,230133.0,SHALOM PRAYER CENTER,840 S MAIN ST,MOUNT ANGEL,OR,,X20,813110.0,97362.0,IN,,194603,41047.0,10,7080.0,6442.0,137978.0,16eofinextract990.dat,201512.0,195136.0,12.0,0.17519340613826329,X20,X,X,PC,RE,X,RE,O,RE,OT,Y,N
8852,10932751,,10,3,201712.0,110587.0,193505.0,LIFESTYLE MEDICINE FOUNDATION,PO BOX 4141,SALEM,OR,,G03,813920.0,97302.0,IN,,201002,41047.0,15,7080.0,6442.0,24769.0,16eofinextract990.dat,201512.0,234215.0,12.0,0.9614594975444756,G03,G,G,PC,HE,G,HE,O,HE,HE,Y,N
13944,20530982,,10,3,201806.0,110039.0,116567.0,SEVENTH PRINCIPLE PROJECT OF THE UUA,1034 SW 13TH AVE,PORTLAND,OR,,P99,624000.0,97205.0,IN,,200207,41051.0,16,6440.0,6442.0,59210.0,16eofinextractez.dat,201606.0,60648.0,6.0,0.9843581725213866,P99,P,P,PC,HU,P,HS,O,HU,HU,Y,N
14269,20552421,,20,3,201712.0,150661.0,41596.0,PACIFIC NORTHWEST FOREST SERVICE ASSOCIATION INC,PO BOX 5583,PORTLAND,OR,,C30,813312.0,97228.0,IN,,200206,41051.0,15,6440.0,6442.0,136613.0,16eofinextractez.dat,201512.0,33235.0,12.0,0.5587812176289683,C30,C,C,PC,EN,C,EN,O,EN,OT,Y,N
14670,20584357,,10,3,201709.0,637051.0,1629366.0,TILLAMOOK ESTUARIES PARTNERSHIP,PO BOX 493,GARIBALDI,OR,,C32,813312.0,97118.0,IN,,200205,41057.0,15,,,402524.0,16eofinextract990.dat,201509.0,1129218.0,9.0,0.6992778423887129,C32,C,C,PC,EN,C,EN,O,EN,OT,Y,N
15747,20658798,,10,3,201706.0,635651.0,424496.0,FR BERNARD YOUTH CENTER INC,PO BOX 790,MOUNT ANGEL,OR,,O20,624110.0,97362.0,IN,,200310,41047.0,16,7080.0,6442.0,931373.0,16eofinextract990.dat,201506.0,663964.0,6.0,0.9192779125324814,O20,O,O,PC,HU,O,HS,O,HU,HU,Y,N
