,RETURN_ID,FILING_TYPE,EIN,TAX_PERIOD_x,SUB_DATE,TAXPAYER_NAME,RETURN_TYPE,DLN,OBJECT_ID,NAME,ICO,STREET,CITY,STATE,ZIP,SUBSECTION,INCOME_AMT,ASSET_AMT,REVENUE_AMT,TAX_PERIOD_y,NTEE_CD
6332,15892895,EFILE,455093195,201712,11/8/2018 10:52:16 AM,HEALTH SHARE OF OREGON,990,93493283012358,201802839349301235,HEALTH SHARE OF OREGON,% JANET MEYER,2121 SW BROADWAY STE 200,PORTLAND,OR,97201-3181,3,2010354602.0,99666104.0,2010354602.0,201812.0,E80
2709,16724048,EFILE,930223960,201809,10/7/2019 12:38:43 PM,ASANTE,990,93493226015059,201902269349301505,ASANTE,,2635 SISKIYOU BLVD,MEDFORD,OR,97504-8125,3,1371128917.0,1265166110.0,816045270.0,201809.0,E220
5067,16007105,EFILE,930933975,201712,12/14/2018 8:22:16 PM,CAREOREGON INC,990,93493309024658,201803099349302465,CAREOREGON INC,% TERESA KENNEDY LEARN CFO,315 SW 5TH AVE,PORTLAND,OR,97204-1703,3,1265449107.0,427700632.0,1147714463.0,201812.0,E31Z
4879,16280455,EFILE,930386823,201803,5/9/2019 2:21:18 AM,LEGACY EMANUEL HOSPITAL AND HEALTH CENTER,990,93493046023289,201930469349302328,LEGACY EMANUEL HOSPITAL & HEALTH CENTER,,2801 N GANTENBEIN AVE,PORTLAND,OR,97227-1623,3,934438934.0,605104820.0,934290343.0,201803.0,E220
5089,16061823,EFILE,930602940,201712,2/5/2019 12:00:34 AM,ST CHARLES HEALTH SYSTEM INC,990,93493320016858,201803209349301685,ST CHARLES HEALTH SYSTEM INC,,2500 NE NEFF RD,BEND,OR,97701-6015,3,831908289.0,1047605572.0,830561599.0,201812.0,E220
4521,16851350,EFILE,930579722,201806,11/15/2019 8:49:55 AM,SALEM HEALTH,990,93493130002409,201901309349300240,SALEM HEALTH,% HUMAN RESOURCES,890 OAK ST SE,SALEM,OR,97301-3905,3,818601362.0,1306434818.0,817259795.0,201806.0,E20
2741,16720250,EFILE,930508781,201809,10/4/2019 1:38:12 PM,SKY LAKES MEDICAL CENTER,990,93493226027209,201902269349302720,SKY LAKES MEDICAL CENTER INC,% RHONDA CROSBY,2865 DAGGETT AVE,KLAMATH FALLS,OR,97601-1106,3,652236677.0,379169745.0,646876631.0,201809.0,E220
5406,16102524,EFILE,930391573,201712,2/15/2019 7:27:17 PM,GOOD SAMARITAN HOSPITAL CORVALLIS,990,93493319171468,201813199349317146,GOOD SAMARITAN HOSPITAL CORVALLIS,% SHS ACCOUNTING,PO BOX 3000,CORVALLIS,OR,97339-3000,3,438055745.0,179272599.0,435021808.0,201812.0,E220
5464,16065248,EFILE,930951989,201712,2/5/2019 1:52:27 PM,SAMARITAN HEALTH SERVICES,990,93493319185108,201803199349318510,SAMARITAN HEALTH SERVICES INC,% SHS ACCOUNTING,PO BOX 3000,CORVALLIS,OR,97339-3000,3,393941367.0,340367559.0,228360728.0,201812.0,P20Z
5200,16118864,EFILE,930438772,201712,2/22/2019 12:03:39 PM,OREGON DENTAL SERVICE,990O,93493317078318,201813179349307831,OREGON DENTAL SERVICE,% DAVID EVANS,601 SW 2ND AVE,PORTLAND,OR,97204-3229,4,387438577.0,51246783.0,384556522.0,201812.0,
6155,15966181,EFILE,930878074,201712,12/3/2018 9:19:43 AM,FAMILYCARE INC,990O,93493310014258,201803109349301425,FAMILYCARE INC,,2121 SW BROADWAY STE 115,PORTLAND,OR,97201-3180,4,378633879.0,93145656.0,71959616.0,201812.0,E21Z
4850,16246918,EFILE,930386793,201803,4/26/2019 6:31:36 PM,LEGACY GOOD SAMARITAN HOSPITAL AND MEDICAL CENTER,990,93493046023279,201920469349302327,LEGACY GOOD SAMARITAN HOSPITAL AND MEDICAL CENTER PAYROLL DEPT,,1015 NW 22ND AVE,PORTLAND,OR,97210-3025,3,363025754.0,358541310.0,361825745.0,201803.0,E220
5046,16014985,EFILE,931124326,201712,12/18/2018 7:12:26 AM,INTERCOMMUNITY HEALTH PLANS INC,990O,93493319181328,201823199349318132,INTERCOMMUNITY HEALTH NETWORK,% ALAN R YORDY PRES,PO BOX 3000,CORVALLIS,OR,97339-3000,4,362260154.0,112250060.0,320605616.0,201812.0,
1371,16369216,EFILE,930257765,201812,6/3/2019 6:25:09 AM,ONPOINT COMMUNITY CREDIT UNION,990O,93493130037599,201941309349303759,ONPOINT COMMUNITY CREDIT UNION,% DAVID BIASTOCK,2701 NW VAUGHN ST,PORTLAND,OR,97210-5311,14,349952714.0,5392942516.0,237149429.0,201812.0,
5130,16061156,EFILE,237315673,201712,2/4/2019 10:29:53 PM,OREGON COMMUNITY FOUNDATION,990,93493318117678,201823189349311767,OREGON COMMUNITY FOUNDATION,,1221 SW YAMHILL ST STE,PORTLAND,OR,97205-2126,3,336463061.0,1870262580.0,129993102.0,201812.0,T310
5176,16143398,EFILE,930429015,201712,3/4/2019 5:04:46 PM,PORTLAND ADVENTIST MEDICAL CENTER DBA ADVENTIST HEALTH PORTLAND,990,93493359004008,201803599349300400,PORTLAND ADVENTIST MEDICAL CENTER,,10123 SE MARKET ST,PORTLAND,OR,97216-2532,3,328640117.0,321822691.0,328243229.0,201812.0,E220
1978,16942762,EFILE,936021475,201812,12/11/2019 5:58:42 AM,OREGON TEAMSTER EMPLOYERS TRUST,990O,93493304015549,201943049349301554,OREGON TEAMSTER EMPLOYERS TRUST,% WILLIAM C EARHART,PO BOX 4148,PORTLAND,OR,97208-4148,9,327442774.0,100839235.0,195211222.0,201812.0,
3192,16211885,EFILE,911148123,201806,4/10/2019 8:14:57 PM,MERCY CORPS,990,93493024011059,201900249349301105,MERCY CORPS,,45 SW ANKENY STREET,PORTLAND,OR,97204-3500,3,310386162.0,188946120.0,308644568.0,201806.0,Q330
