Unnamed: 0,RETURN_ID,FILING_TYPE,EIN,TAX_PERIOD_x,SUB_DATE,TAXPAYER_NAME,RETURN_TYPE,DLN,OBJECT_ID,NAME,ICO,STREET,CITY,STATE,ZIP,INCOME_AMT,ASSET_AMT,TAX_PERIOD_y
2201,15246797,EFILE,462698843,201706,4/4/2018 10:26:33 PM,CANNON BEACH ACADEMY,990EZ,93492067001368,201810679349200136,CANNON BEACH ACADEMY,% BARBARA J KNOP,PO BOX 1171,CANNON BEACH,OR,97110-1171,419411.0,151137.0,201806.0
1576,15196115,EFILE,452901016,201612,3/1/2018 1:33:26 PM,CRGC EDUCATIONAL FOUNDATION INC,990EZ,93492034006058,201800349349200605,CRGC EDUCATIONAL FOUNDATION INCORPORATED,% RICHARD D PHANEUF,PO BOX 311,CANBY,OR,97013-0311,380252.0,454223.0,201712.0
1577,15211482,EFILE,452901016,201512,3/9/2018 7:50:32 AM,CRGC EDUCATIONAL FOUNDATION INC,990EZ,93492034007048,201840349349200704,CRGC EDUCATIONAL FOUNDATION INCORPORATED,% RICHARD D PHANEUF,PO BOX 311,CANBY,OR,97013-0311,380252.0,454223.0,201712.0
1705,15210522,EFILE,471067268,201512,3/8/2018 9:35:48 PM,CASCADE VIEW CHRISTIAN SCHOOL,990EZ,93492045001308,201800459349200130,CASCADE VIEW CHRISTIAN SCHOOL,% LYNN STARKEY,PO BOX 157,SUBLIMITY,OR,97385-0157,363984.0,159581.0,201712.0
1336,15112200,EFILE,473924692,201612,1/11/2018 7:11:34 AM,TETELESTAI MINISTRIES INC,990EZ,93492318064067,201713189349206406,TETELESTAI MINISTRIES INC,,25125 SW PETES MOUNTAIN RD,WEST LINN,OR,97068-4580,342528.0,8547.0,201712.0
3490,15609310,EFILE,474179669,201712,8/22/2018 4:32:02 PM,BEND BULLETS,990EZ,93492127009638,201831279349200963,BEND BULLETS,,1426 NE TALON CT,BEND,OR,97701-3718,330651.0,69478.0,201812.0
981,15097241,EFILE,201615445,201612,1/8/2018 7:12:07 PM,BELLADONNA SANCTUARY,990EZ,93492314000037,201733149349200003,BELLADONNA SANCTUARY,% JOSEPHINE MACMILLAN,10350 N VANCOUVER WAY 76,PORTLAND,OR,97217-7530,318228.0,209173.0,201712.0
3719,15678815,EFILE,931285644,201706,9/11/2018 10:10:54 PM,SOUTHERN OREGON VETERANS BENEFIT,990EZ,93492129020468,201811299349202046,SOUTHERN OREGON VETERANS BENEFIT,% RUSS MCBRIDE,PO BOX 1013,MEDFORD,OR,97501-0072,302982.0,436797.0,201806.0
4760,15790513,EFILE,222647786,201709,10/13/2018 1:51:21 AM,NATIONAL ASSOCIATION OF STATE DIRECTORS OF VETERANS AFFAIRS INC,990EZ,93492219007438,201832199349200743,THE NATIONAL ASSOCIATION OF STATE DIRECTORS OF VETERANS AFFAIRS INC,,700 SUMMER ST NE,SALEM,OR,97301-1288,301181.0,132439.0,201809.0
398,15071358,EFILE,930995219,201612,1/2/2018 5:39:32 PM,FRIENDS OF THE CURRY PUBLIC LIBRARY,990EZ,93492319073737,201733199349207373,FRIENDS OF THE CURRY PUBLIC LIBRARY,% CURRY PUBLIC LIBRARY,94341 3RD ST,GOLD BEACH,OR,97444-8732,292932.0,413048.0,201712.0
